Date;Time;Valeur[l/s];État de la valeur;Interpolation;valid[%];Qualité;Interpolation;invalid[%];Qualité;Interpolation;missing[%];Qualité;Interpolation;Tags;Comments
22/05/201603:00:00;03:00:00;24.573;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
22/05/201604:00:00;04:00:00;4.855;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
22/05/201605:00:00;05:00:00;15.493;0 (Bon);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
22/05/201606:00:00;06:00:00;10.068;0 (Bon);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
22/05/201607:00:00;07:00:00;4.889;0 (Bon);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
22/05/201608:00:00;08:00:00;4.067;0 (Bon);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
22/05/201609:00:00;09:00:00;2.269;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
22/05/201610:00:00;10:00:00;1.614;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
22/05/201611:00:00;11:00:00;1.153;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
22/05/201612:00:00;12:00:00;0.977;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
22/05/201613:00:00;13:00:00;10.848;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
22/05/201614:00:00;14:00:00;19.641;0 (Bon);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
22/05/201615:00:00;15:00:00;12.150;0 (Bon);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
22/05/201616:00:00;16:00:00;5.317;0 (Bon);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
22/05/201617:00:00;17:00:00;3.176;0 (Bon);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
22/05/201618:00:00;18:00:00;6.171;0 (Bon);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
22/05/201619:00:00;19:00:00;6.616;0 (Bon);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
22/05/201620:00:00;20:00:00;6.391;0 (Bon);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
22/05/201621:00:00;21:00:00;5.454;0 (Bon);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
22/05/201622:00:00;22:00:00;3.830;0 (Bon);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
22/05/201623:00:00;23:00:00;2.818;0 (Bon);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
23/05/201600:00:00;00:00:00;3.603;0 (Bon);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
23/05/201601:00:00;01:00:00;2.591;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
23/05/201602:00:00;02:00:00;2.042;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
23/05/201603:00:00;03:00:00;1.816;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
23/05/201604:00:00;04:00:00;1.431;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
23/05/201605:00:00;05:00:00;1.165;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
