"","date","valeur","Qualit"
"1","22/05/2016 03:00:00","24.573","0 (Bon)"
"2","22/05/2016 04:00:00","4.855","0 (Bon)"
"3","22/05/2016 05:00:00","15.493","0 (Bon)"
"4","22/05/2016 06:00:00","10.068","0 (Bon)"
"5","22/05/2016 07:00:00","4.889","0 (Bon)"
"6","22/05/2016 08:00:00","4.067","0 (Bon)"
"7","22/05/2016 09:00:00","2.269","0 (Bon)"
"8","22/05/2016 10:00:00","1.614","0 (Bon)"
"9","22/05/2016 11:00:00","1.153","0 (Bon)"
"10","22/05/2016 12:00:00","0.977","0 (Bon)"
"11","22/05/2016 13:00:00","10.848","0 (Bon)"
"12","22/05/2016 14:00:00","19.641","0 (Bon)"
"13","22/05/2016 15:00:00","12.150","0 (Bon)"
"14","22/05/2016 16:00:00","5.317","0 (Bon)"
"15","22/05/2016 17:00:00","3.176","0 (Bon)"
"16","22/05/2016 18:00:00","6.171","0 (Bon)"
"17","22/05/2016 19:00:00","6.616","0 (Bon)"
"18","22/05/2016 20:00:00","6.391","0 (Bon)"
"19","22/05/2016 21:00:00","5.454","0 (Bon)"
"20","22/05/2016 22:00:00","3.830","0 (Bon)"
"21","22/05/2016 23:00:00","2.818","0 (Bon)"
"22","23/05/2016 00:00:00","3.603","0 (Bon)"
"23","23/05/2016 01:00:00","2.591","0 (Bon)"
"24","23/05/2016 02:00:00","2.042","0 (Bon)"
"25","23/05/2016 03:00:00","1.816","0 (Bon)"
"26","23/05/2016 04:00:00","1.431","0 (Bon)"
"27","23/05/2016 05:00:00","1.165","0 (Bon)"
"28","23/05/2016 06:00:00","0.846","0 (Bon)"
"29","23/05/2016 07:00:00","0.776","0 (Bon)"
"30","23/05/2016 08:00:00","0.697","0 (Bon)"
"31","23/05/2016 09:00:00","0.604","0 (Bon)"
"32","23/05/2016 10:00:00","0.508","0 (Bon)"
"33","23/05/2016 11:00:00","0.440","0 (Bon)"
"34","23/05/2016 12:00:00","0.436","0 (Bon)"
"35","23/05/2016 13:00:00","0.353","0 (Bon)"
"36","23/05/2016 14:00:00","0.363","0 (Bon)"
"37","23/05/2016 15:00:00","0.341","0 (Bon)"
"38","23/05/2016 16:00:00","0.312","0 (Bon)"
"39","23/05/2016 17:00:00","0.353","0 (Bon)"
"40","23/05/2016 18:00:00","0.369","0 (Bon)"
"41","23/05/2016 19:00:00","0.318","0 (Bon)"
"42","23/05/2016 20:00:00","0.303","0 (Bon)"
"43","23/05/2016 21:00:00","0.328","0 (Bon)"
"44","23/05/2016 22:00:00","0.342","0 (Bon)"
"45","23/05/2016 23:00:00","0.336","0 (Bon)"
"46","24/05/2016 00:00:00","2.059","0 (Bon)"
"47","24/05/2016 01:00:00","0.423","0 (Bon)"
"48","24/05/2016 02:00:00","1.327","0 (Bon)"
"49","24/05/2016 03:00:00","1.999","0 (Bon)"
"50","24/05/2016 04:00:00","3.124","0 (Bon)"
"51","24/05/2016 05:00:00","18.740","0 (Bon)"
"52","24/05/2016 06:00:00","16.617","0 (Bon)"
"53","24/05/2016 07:00:00","18.422","0 (Bon)"
"54","24/05/2016 08:00:00","23.465","0 (Bon)"
"55","24/05/2016 09:00:00","2.850","0 (Bon)"
"56","24/05/2016 10:00:00","3.662","0 (Bon)"
"57","24/05/2016 11:00:00","24.997","0 (Bon)"
"58","24/05/2016 12:00:00","12.042","0 (Bon)"
"59","24/05/2016 13:00:00","2.750","0 (Bon)"
"60","24/05/2016 14:00:00","9.931","0 (Bon)"
"61","24/05/2016 15:00:00","7.492","0 (Bon)"
"62","24/05/2016 16:00:00","3.879","0 (Bon)"
"63","24/05/2016 17:00:00","3.448","0 (Bon)"
"64","24/05/2016 18:00:00","12.174","0 (Bon)"
"65","24/05/2016 19:00:00","12.948","0 (Bon)"
"66","24/05/2016 20:00:00","5.982","0 (Bon)"
"67","24/05/2016 21:00:00","21.647","0 (Bon)"
"68","24/05/2016 22:00:00","3.360","0 (Bon)"
"69","24/05/2016 23:00:00","75.211","0 (Bon)"
"70","25/05/2016 00:00:00","30.313","0 (Bon)"
"71","25/05/2016 01:00:00","29.631","0 (Bon)"
"72","25/05/2016 02:00:00","37.043","0 (Bon)"
"73","25/05/2016 03:00:00","25.865","0 (Bon)"
"74","25/05/2016 04:00:00","53.891","0 (Bon)"
"75","25/05/2016 05:00:00","17.210","0 (Bon)"
"76","25/05/2016 06:00:00","26.235","0 (Bon)"
"77","25/05/2016 07:00:00","33.568","0 (Bon)"
"78","25/05/2016 08:00:00","20.549","0 (Bon)"
"79","25/05/2016 09:00:00","18.583","0 (Bon)"
"80","25/05/2016 10:00:00","38.433","0 (Bon)"
"81","25/05/2016 11:00:00","14.795","0 (Bon)"
"82","25/05/2016 12:00:00","6.179","0 (Bon)"
"83","25/05/2016 13:00:00","1.442","0 (Bon)"
"84","25/05/2016 14:00:00","2.390","0 (Bon)"
"85","25/05/2016 15:00:00","23.930","0 (Bon)"
"86","25/05/2016 16:00:00","3.226","0 (Bon)"
"87","25/05/2016 17:00:00","0.134","0 (Bon)"
"88","25/05/2016 18:00:00","2.806","0 (Bon)"
"89","25/05/2016 19:00:00","7.044","0 (Bon)"
"90","25/05/2016 20:00:00","5.773","0 (Bon)"
"91","25/05/2016 21:00:00","3.220","0 (Bon)"
"92","25/05/2016 22:00:00","2.471","0 (Bon)"
"93","25/05/2016 23:00:00","1.305","0 (Bon)"
"94","26/05/2016 00:00:00","0.830","0 (Bon)"
"95","26/05/2016 01:00:00","0.610","0 (Bon)"
"96","26/05/2016 02:00:00","0.440","0 (Bon)"
"97","26/05/2016 03:00:00","0.430","0 (Bon)"
"98","26/05/2016 04:00:00","0.410","0 (Bon)"
"99","26/05/2016 05:00:00","0.378","0 (Bon)"
"100","26/05/2016 06:00:00","0.341","0 (Bon)"
"101","26/05/2016 07:00:00","0.332","0 (Bon)"
"102","26/05/2016 08:00:00","0.362","0 (Bon)"
"103","26/05/2016 09:00:00","0.314","0 (Bon)"
"104","26/05/2016 10:00:00","0.410","0 (Bon)"
"105","26/05/2016 11:00:00","0.398","0 (Bon)"
"106","26/05/2016 12:00:00","0.359","0 (Bon)"
"107","26/05/2016 13:00:00","0.733","0 (Bon)"
"108","26/05/2016 14:00:00","0.441","0 (Bon)"
"109","26/05/2016 15:00:00","0.715","0 (Bon)"
"110","26/05/2016 16:00:00","0.621","0 (Bon)"
"111","26/05/2016 17:00:00","0.921","0 (Bon)"
"112","26/05/2016 18:00:00","0.681","0 (Bon)"
"113","26/05/2016 19:00:00","1.152","0 (Bon)"
"114","26/05/2016 20:00:00","13.812","0 (Bon)"
"115","26/05/2016 21:00:00","1.503","0 (Bon)"
"116","26/05/2016 22:00:00","2.070","0 (Bon)"
"117","26/05/2016 23:00:00","5.148","0 (Bon)"
"118","27/05/2016 00:00:00","6.278","0 (Bon)"
"119","27/05/2016 01:00:00","16.973","0 (Bon)"
"120","27/05/2016 02:00:00","25.421","0 (Bon)"
"121","27/05/2016 03:00:00","26.206","0 (Bon)"
"122","27/05/2016 04:00:00","16.427","0 (Bon)"
"123","27/05/2016 05:00:00","38.514","0 (Bon)"
"124","27/05/2016 06:00:00","17.238","0 (Bon)"
"125","27/05/2016 07:00:00","12.160","0 (Bon)"
"126","27/05/2016 08:00:00","20.081","0 (Bon)"
"127","27/05/2016 09:00:00","9.829","0 (Bon)"
"128","27/05/2016 10:00:00","7.987","0 (Bon)"
"129","27/05/2016 11:00:00","3.767","0 (Bon)"
"130","27/05/2016 12:00:00","11.997","0 (Bon)"
"131","27/05/2016 13:00:00","2.010","0 (Bon)"
"132","27/05/2016 14:00:00","0.684","0 (Bon)"
"133","27/05/2016 15:00:00","3.441","0 (Bon)"
"134","27/05/2016 16:00:00","2.691","0 (Bon)"
"135","27/05/2016 17:00:00","5.335","0 (Bon)"
"136","27/05/2016 18:00:00","1.415","0 (Bon)"
"137","27/05/2016 19:00:00","6.092","0 (Bon)"
"138","27/05/2016 20:00:00","8.465","0 (Bon)"
"139","27/05/2016 21:00:00","8.852","0 (Bon)"
"140","27/05/2016 22:00:00","13.018","0 (Bon)"
"141","27/05/2016 23:00:00","31.760","0 (Bon)"
"142","28/05/2016 00:00:00","7.936","0 (Bon)"
"143","28/05/2016 01:00:00","11.566","0 (Bon)"
"144","28/05/2016 02:00:00","10.142","0 (Bon)"
"145","28/05/2016 03:00:00","15.817","0 (Bon)"
"146","28/05/2016 04:00:00","2.854","0 (Bon)"
"147","28/05/2016 05:00:00","12.806","0 (Bon)"
"148","28/05/2016 06:00:00","6.299","0 (Bon)"
"149","28/05/2016 07:00:00","1.421","0 (Bon)"
"150","28/05/2016 08:00:00","13.692","0 (Bon)"
"151","28/05/2016 09:00:00","1.022","0 (Bon)"
"152","28/05/2016 10:00:00","5.859","0 (Bon)"
"153","28/05/2016 11:00:00","1.851","0 (Bon)"
"154","28/05/2016 12:00:00","3.368","0 (Bon)"
"155","28/05/2016 13:00:00","4.212","0 (Bon)"
