"","date","valeur","Qualit"
"1","06/01/2017 14:00:00","---","0 (Bon)"
"2","06/01/2017 15:00:00","---","0 (Bon)"
"3","06/01/2017 16:00:00","---","0 (Bon)"
"4","06/01/2017 17:00:00","---","0 (Bon)"
"5","06/01/2017 18:00:00","---","0 (Bon)"
"6","06/01/2017 19:00:00","---","0 (Bon)"
"7","06/01/2017 20:00:00","---","0 (Bon)"
"8","06/01/2017 21:00:00","---","0 (Bon)"
"9","06/01/2017 22:00:00","---","0 (Bon)"
"10","06/01/2017 23:00:00","---","0 (Bon)"
"11","07/01/2017 00:00:00","---","0 (Bon)"
"12","07/01/2017 01:00:00","---","0 (Bon)"
"13","07/01/2017 02:00:00","---","0 (Bon)"
"14","07/01/2017 03:00:00","---","0 (Bon)"
"15","07/01/2017 04:00:00","---","0 (Bon)"
"16","07/01/2017 05:00:00","---","0 (Bon)"
"17","07/01/2017 06:00:00","---","0 (Bon)"
"18","07/01/2017 07:00:00","---","0 (Bon)"
"19","07/01/2017 08:00:00","---","0 (Bon)"
"20","07/01/2017 09:00:00","---","0 (Bon)"
"21","07/01/2017 10:00:00","---","0 (Bon)"
"22","07/01/2017 11:00:00","---","0 (Bon)"
"23","07/01/2017 12:00:00","---","0 (Bon)"
"24","07/01/2017 13:00:00","---","0 (Bon)"
"25","07/01/2017 14:00:00","---","0 (Bon)"
"26","07/01/2017 15:00:00","---","0 (Bon)"
"27","07/01/2017 16:00:00","---","0 (Bon)"
"28","07/01/2017 17:00:00","---","0 (Bon)"
"29","07/01/2017 18:00:00","---","0 (Bon)"
"30","07/01/2017 19:00:00","---","0 (Bon)"
"31","07/01/2017 20:00:00","---","0 (Bon)"
"32","07/01/2017 21:00:00","---","0 (Bon)"
"33","07/01/2017 22:00:00","---","0 (Bon)"
"34","07/01/2017 23:00:00","---","0 (Bon)"
"35","08/01/2017 00:00:00","---","0 (Bon)"
"36","08/01/2017 01:00:00","---","0 (Bon)"
"37","08/01/2017 02:00:00","---","0 (Bon)"
"38","08/01/2017 03:00:00","---","0 (Bon)"
"39","08/01/2017 04:00:00","---","0 (Bon)"
"40","08/01/2017 05:00:00","---","0 (Bon)"
"41","08/01/2017 06:00:00","---","0 (Bon)"
"42","08/01/2017 07:00:00","---","0 (Bon)"
"43","08/01/2017 08:00:00","---","0 (Bon)"
"44","08/01/2017 09:00:00","---","0 (Bon)"
"45","08/01/2017 10:00:00","---","0 (Bon)"
"46","08/01/2017 11:00:00","---","0 (Bon)"
"47","08/01/2017 12:00:00","---","0 (Bon)"
"48","08/01/2017 13:00:00","---","0 (Bon)"
"49","08/01/2017 14:00:00","---","0 (Bon)"
"50","08/01/2017 15:00:00","---","0 (Bon)"
"51","08/01/2017 16:00:00","---","0 (Bon)"
"52","08/01/2017 17:00:00","---","0 (Bon)"
