"","date","valeur","Qualit"
"1","01/12/2017 00:00:00","---","254 (254)"
"2","01/12/2017 01:00:00","0.000","0 (Bon)"
"3","01/12/2017 02:00:00","0.000","0 (Bon)"
"4","01/12/2017 03:00:00","0.000","0 (Bon)"
"5","01/12/2017 04:00:00","0.000","0 (Bon)"
"6","01/12/2017 05:00:00","0.000","0 (Bon)"
"7","01/12/2017 06:00:00","0.000","0 (Bon)"
"8","01/12/2017 07:00:00","0.000","0 (Bon)"
"9","01/12/2017 08:00:00","0.000","0 (Bon)"
"10","01/12/2017 09:00:00","0.000","0 (Bon)"
"11","01/12/2017 10:00:00","0.000","0 (Bon)"
"12","01/12/2017 11:00:00","0.000","0 (Bon)"
"13","01/12/2017 12:00:00","0.000","0 (Bon)"
"14","01/12/2017 13:00:00","0.000","0 (Bon)"
"15","01/12/2017 14:00:00","0.000","0 (Bon)"
"16","01/12/2017 15:00:00","0.000","0 (Bon)"
"17","01/12/2017 16:00:00","0.000","0 (Bon)"
"18","01/12/2017 17:00:00","0.000","0 (Bon)"
"19","01/12/2017 18:00:00","0.000","0 (Bon)"
"20","01/12/2017 19:00:00","0.000","0 (Bon)"
"21","01/12/2017 20:00:00","0.000","0 (Bon)"
"22","01/12/2017 21:00:00","0.000","0 (Bon)"
"23","01/12/2017 22:00:00","0.000","0 (Bon)"
"24","01/12/2017 23:00:00","0.000","0 (Bon)"
"25","02/12/2017 00:00:00","0.000","0 (Bon)"
"26","02/12/2017 01:00:00","0.000","0 (Bon)"
"27","02/12/2017 02:00:00","0.000","0 (Bon)"
"28","02/12/2017 03:00:00","0.000","0 (Bon)"
"29","02/12/2017 04:00:00","0.000","0 (Bon)"
"30","02/12/2017 05:00:00","0.000","0 (Bon)"
"31","02/12/2017 06:00:00","0.000","0 (Bon)"
"32","02/12/2017 07:00:00","0.000","0 (Bon)"
"33","02/12/2017 08:00:00","0.000","0 (Bon)"
"34","02/12/2017 09:00:00","0.000","0 (Bon)"
"35","02/12/2017 10:00:00","0.000","0 (Bon)"
"36","02/12/2017 11:00:00","0.000","0 (Bon)"
"37","02/12/2017 12:00:00","0.000","0 (Bon)"
"38","02/12/2017 13:00:00","0.000","0 (Bon)"
"39","02/12/2017 14:00:00","0.000","0 (Bon)"
"40","02/12/2017 15:00:00","0.000","0 (Bon)"
"41","02/12/2017 16:00:00","0.000","0 (Bon)"
"42","02/12/2017 17:00:00","0.000","0 (Bon)"
"43","02/12/2017 18:00:00","0.000","0 (Bon)"
"44","02/12/2017 19:00:00","0.000","0 (Bon)"
"45","02/12/2017 20:00:00","0.000","0 (Bon)"
"46","02/12/2017 21:00:00","0.000","0 (Bon)"
"47","02/12/2017 22:00:00","0.000","0 (Bon)"
"48","02/12/2017 23:00:00","0.000","0 (Bon)"
"49","03/12/2017 00:00:00","0.000","0 (Bon)"
"50","03/12/2017 01:00:00","0.000","0 (Bon)"
"51","03/12/2017 02:00:00","0.000","0 (Bon)"
"52","03/12/2017 03:00:00","0.000","0 (Bon)"
"53","03/12/2017 04:00:00","0.000","0 (Bon)"
