"","date","valeur","Qualit"
"1","10/11/2016 14:00:00","---","0 (Bon)"
"2","10/11/2016 15:00:00","-0.134","0 (Bon)"
"3","10/11/2016 16:00:00","---","0 (Bon)"
"4","10/11/2016 17:00:00","---","0 (Bon)"
"5","10/11/2016 18:00:00","---","0 (Bon)"
"6","10/11/2016 19:00:00","---","0 (Bon)"
"7","10/11/2016 20:00:00","---","0 (Bon)"
"8","10/11/2016 21:00:00","---","0 (Bon)"
"9","10/11/2016 22:00:00","---","0 (Bon)"
"10","10/11/2016 23:00:00","---","0 (Bon)"
"11","11/11/2016 00:00:00","---","0 (Bon)"
"12","11/11/2016 01:00:00","---","0 (Bon)"
"13","11/11/2016 02:00:00","---","0 (Bon)"
"14","11/11/2016 03:00:00","---","0 (Bon)"
"15","11/11/2016 04:00:00","---","0 (Bon)"
"16","11/11/2016 05:00:00","---","0 (Bon)"
"17","11/11/2016 06:00:00","---","0 (Bon)"
"18","11/11/2016 07:00:00","---","0 (Bon)"
"19","11/11/2016 08:00:00","---","0 (Bon)"
"20","11/11/2016 09:00:00","---","0 (Bon)"
"21","11/11/2016 10:00:00","---","0 (Bon)"
"22","11/11/2016 11:00:00","---","0 (Bon)"
"23","11/11/2016 12:00:00","---","0 (Bon)"
"24","11/11/2016 13:00:00","---","0 (Bon)"
"25","11/11/2016 14:00:00","---","0 (Bon)"
"26","11/11/2016 15:00:00","---","0 (Bon)"
"27","11/11/2016 16:00:00","---","0 (Bon)"
"28","11/11/2016 17:00:00","---","0 (Bon)"
"29","11/11/2016 18:00:00","---","0 (Bon)"
"30","11/11/2016 19:00:00","---","0 (Bon)"
"31","11/11/2016 20:00:00","---","0 (Bon)"
"32","11/11/2016 21:00:00","---","0 (Bon)"
"33","11/11/2016 22:00:00","---","0 (Bon)"
"34","11/11/2016 23:00:00","---","0 (Bon)"
"35","12/11/2016 00:00:00","---","0 (Bon)"
"36","12/11/2016 01:00:00","---","0 (Bon)"
"37","12/11/2016 02:00:00","---","0 (Bon)"
"38","12/11/2016 03:00:00","---","0 (Bon)"
"39","12/11/2016 04:00:00","---","0 (Bon)"
"40","12/11/2016 05:00:00","---","0 (Bon)"
"41","12/11/2016 06:00:00","---","0 (Bon)"
"42","12/11/2016 07:00:00","---","0 (Bon)"
"43","12/11/2016 08:00:00","---","0 (Bon)"
"44","12/11/2016 09:00:00","---","0 (Bon)"
"45","12/11/2016 10:00:00","---","0 (Bon)"
"46","12/11/2016 11:00:00","---","0 (Bon)"
"47","12/11/2016 12:00:00","---","0 (Bon)"
"48","12/11/2016 13:00:00","---","0 (Bon)"
"49","12/11/2016 14:00:00","---","0 (Bon)"
"50","12/11/2016 15:00:00","---","0 (Bon)"
"51","12/11/2016 16:00:00","---","0 (Bon)"
"52","12/11/2016 17:00:00","---","0 (Bon)"
"53","12/11/2016 18:00:00","---","0 (Bon)"
"54","12/11/2016 19:00:00","---","0 (Bon)"
"55","12/11/2016 20:00:00","---","0 (Bon)"
"56","12/11/2016 21:00:00","---","0 (Bon)"
"57","12/11/2016 22:00:00","---","0 (Bon)"
"58","12/11/2016 23:00:00","---","0 (Bon)"
"59","13/11/2016 00:00:00","---","0 (Bon)"
"60","13/11/2016 01:00:00","---","0 (Bon)"
"61","13/11/2016 02:00:00","---","0 (Bon)"
"62","13/11/2016 03:00:00","---","0 (Bon)"
"63","13/11/2016 04:00:00","---","0 (Bon)"
"64","13/11/2016 05:00:00","---","0 (Bon)"
"65","13/11/2016 06:00:00","---","0 (Bon)"
"66","13/11/2016 07:00:00","---","0 (Bon)"
"67","13/11/2016 08:00:00","---","0 (Bon)"
"68","13/11/2016 09:00:00","---","0 (Bon)"
"69","13/11/2016 10:00:00","---","0 (Bon)"
"70","13/11/2016 11:00:00","---","0 (Bon)"
"71","13/11/2016 12:00:00","---","0 (Bon)"
"72","13/11/2016 13:00:00","---","0 (Bon)"
