Date;Time;Valeur[l/s];État de la valeur;Interpolation;valid[%];Qualité;Interpolation;invalid[%];Qualité;Interpolation;missing[%];Qualité;Interpolation;Tags;Comments
01/12/201700:00:00;00:00:00;---;255 (255);101;0;254 (254);101;0;254 (254);101;100;254 (254);101
01/12/201701:00:00;01:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
01/12/201702:00:00;02:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
01/12/201703:00:00;03:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
01/12/201704:00:00;04:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
01/12/201705:00:00;05:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
01/12/201706:00:00;06:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
01/12/201707:00:00;07:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
01/12/201708:00:00;08:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
01/12/201709:00:00;09:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
01/12/201710:00:00;10:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
01/12/201711:00:00;11:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
01/12/201712:00:00;12:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
01/12/201713:00:00;13:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
01/12/201714:00:00;14:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
01/12/201715:00:00;15:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
01/12/201716:00:00;16:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
01/12/201717:00:00;17:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
01/12/201718:00:00;18:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
01/12/201719:00:00;19:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
01/12/201720:00:00;20:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
01/12/201721:00:00;21:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
01/12/201722:00:00;22:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
01/12/201723:00:00;23:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
02/12/201700:00:00;00:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
02/12/201701:00:00;01:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
02/12/201702:00:00;02:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
02/12/201703:00:00;03:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
02/12/201704:00:00;04:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
02/12/201705:00:00;05:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
02/12/201706:00:00;06:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
02/12/201707:00:00;07:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
02/12/201708:00:00;08:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
02/12/201709:00:00;09:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
02/12/201710:00:00;10:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
02/12/201711:00:00;11:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
02/12/201712:00:00;12:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
02/12/201713:00:00;13:00:00;0.000;40 (Douteux);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101
