"","X","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"1",19451,"Bassin Chézine BO3","BO3_01","As",2016-01-21 15:00:00,2284.8,"ICP-OES-1"
"2",19946,"Bassin Chézine BO3","BO3_01","Cd",2016-01-21 15:00:00,0.96,"ICP-MS 2008/2016"
"3",19947,"Bassin Chézine BO3","BO3_01","Co",2016-01-21 15:00:00,0.138,"ICP-OES-1"
"4",19948,"Bassin Chézine BO3","BO3_01","Cr",2016-01-21 15:00:00,31.092,"ICP-MS 2008/2016"
"5",19949,"Bassin Chézine BO3","BO3_01","Cu",2016-01-21 15:00:00,80.8,"ICP-1"
"6",19955,"Bassin Chézine BO3","BO3_01","Mo",2016-01-21 15:00:00,0.005,"ICP-OES-1"
"7",19957,"Bassin Chézine BO3","BO3_01","Ni",2016-01-21 15:00:00,88.9,"ICP-1"
"8",19959,"Bassin Chézine BO3","BO3_01","Pb",2016-01-21 15:00:00,14.397,"ICP-MS 2008/2016"
"9",19962,"Bassin Chézine BO3","BO3_01","Sr",2016-01-21 15:00:00,0.211,"ICP-OES-1"
"10",19963,"Bassin Chézine BO3","BO3_01","Ti",2016-01-21 15:00:00,0.106,"ICP-OES-1"
"11",19965,"Bassin Chézine BO3","BO3_01","V",2016-01-21 15:00:00,75.3,"ICP-1"
"12",19966,"Bassin Chézine BO3","BO3_01","Zn",2016-01-21 15:00:00,207.1,"ICP-OES-1"
"13",19988,"Bassin Chézine BO3","BO3_01","As",2016-01-21 15:00:00,70.61,"Fluorescence X labo_liq"
"14",19991,"Bassin Chézine BO3","BO3_01","Co",2016-01-21 15:00:00,231.38,"Fluorescence X labo_liq"
"15",19992,"Bassin Chézine BO3","BO3_01","Cr",2016-01-21 15:00:00,52.99,"Fluorescence X labo_liq"
"16",20001,"Bassin Chézine BO3","BO3_01","Sr",2016-01-21 15:00:00,3.27,"Fluorescence X labo_liq"
"17",20002,"Bassin Chézine BO3","BO3_01","Ti",2016-01-21 15:00:00,674.25,"Fluorescence X labo_liq"
"18",20003,"Bassin Chézine BO3","BO3_01","V",2016-01-21 15:00:00,26.28,"Fluorescence X labo_liq"
"19",26984,"Bassin Chézine BO3","BO3_03","Pb",2017-08-18 09:00:00,2.2927,"ICP-MS 2017/20xx-1"
"20",26986,"Bassin Chézine BO3","BO3_03","Co",2017-08-18 09:00:00,7.689,"ICP-MS 2017/20xx-1"
"21",29086,"Bassin Chézine BO3","BO3_03","As",2016-06-15 08:20:00,8.627,"ICP-1"
"22",29090,"Bassin Chézine BO3","BO3_03","Co",2016-06-15 08:20:00,0.004,"ICP-OES-1"
"23",29091,"Bassin Chézine BO3","BO3_03","Cr",2016-06-15 08:20:00,1.202,"ICP-MS 2008/2016"
"24",29092,"Bassin Chézine BO3","BO3_03","Cu",2016-06-15 08:20:00,4.042,"ICP-MS 2008/2016"
"25",29099,"Bassin Chézine BO3","BO3_03","Ni",2016-06-15 08:20:00,5.782,"ICP-MS 2008/2016"
"26",29101,"Bassin Chézine BO3","BO3_03","Pb",2016-06-15 08:20:00,2.518,"ICP-MS 2008/2016"
"27",29102,"Bassin Chézine BO3","BO3_03","Sr",2016-06-15 08:20:00,0.075,"ICP-OES-1"
"28",29103,"Bassin Chézine BO3","BO3_03","Ti",2016-06-15 08:20:00,0.019,"ICP-OES-1"
"29",29104,"Bassin Chézine BO3","BO3_03","V",2016-06-15 08:20:00,1.669,"ICP-MS 2008/2016"
"30",29105,"Bassin Chézine BO3","BO3_03","Zn",2016-06-15 08:20:00,22.2,"ICP-1"
"31",30137,"Bassin Chézine BO3","BO3_01","As",2016-06-15 08:10:00,3.882,"ICP-1"
"32",30142,"Bassin Chézine BO3","BO3_01","Cr",2016-06-15 08:10:00,0.332,"ICP-MS 2008/2016"
"33",30143,"Bassin Chézine BO3","BO3_01","Cu",2016-06-15 08:10:00,1.966,"ICP-MS 2008/2016"
"34",30150,"Bassin Chézine BO3","BO3_01","Ni",2016-06-15 08:10:00,4.079,"ICP-MS 2008/2016"
"35",30152,"Bassin Chézine BO3","BO3_01","Pb",2016-06-15 08:10:00,0.535,"ICP-MS 2008/2016"
"36",30153,"Bassin Chézine BO3","BO3_01","Sr",2016-06-15 08:10:00,0.074,"ICP-OES-1"
"37",30154,"Bassin Chézine BO3","BO3_01","Ti",2016-06-15 08:10:00,0.004,"ICP-OES-1"
"38",30155,"Bassin Chézine BO3","BO3_01","V",2016-06-15 08:10:00,0.753,"ICP-MS 2008/2016"
"39",30156,"Bassin Chézine BO3","BO3_01","Zn",2016-06-15 08:10:00,12.76,"ICP-1"
"40",30902,"Bassin Chézine BO3","BO3_03","As",2016-03-04 12:00:00,2.587,"ICP-MS 2008/2016"
"41",30907,"Bassin Chézine BO3","BO3_03","Cr",2016-03-04 12:00:00,0.558,"ICP-MS 2008/2016"
"42",30908,"Bassin Chézine BO3","BO3_03","Cu",2016-03-04 12:00:00,5.02,"ICP-MS 2008/2016"
"43",30913,"Bassin Chézine BO3","BO3_03","Mo",2016-03-04 12:00:00,0.003,"ICP-OES-1"
"44",30915,"Bassin Chézine BO3","BO3_03","Ni",2016-03-04 12:00:00,3.797,"ICP-MS 2008/2016"
"45",30917,"Bassin Chézine BO3","BO3_03","Pb",2016-03-04 12:00:00,0.895,"ICP-MS 2008/2016"
"46",30918,"Bassin Chézine BO3","BO3_03","Sr",2016-03-04 12:00:00,0.061,"ICP-OES-1"
"47",30919,"Bassin Chézine BO3","BO3_03","Ti",2016-03-04 12:00:00,0.006,"ICP-OES-1"
"48",30920,"Bassin Chézine BO3","BO3_03","V",2016-03-04 12:00:00,0.676,"ICP-MS 2008/2016"
"49",30921,"Bassin Chézine BO3","BO3_03","Zn",2016-03-04 12:00:00,31.74,"ICP-MS 2008/2016"
"50",30944,"Bassin Chézine BO3","BO3_01","As",2016-02-29 12:00:00,3.05,"ICP-MS 2008/2016"
"51",30949,"Bassin Chézine BO3","BO3_01","Cr",2016-02-29 12:00:00,0.466,"ICP-MS 2008/2016"
"52",30950,"Bassin Chézine BO3","BO3_01","Cu",2016-02-29 12:00:00,2.762,"ICP-MS 2008/2016"
"53",30957,"Bassin Chézine BO3","BO3_01","Ni",2016-02-29 12:00:00,5.908,"ICP-MS 2008/2016"
"54",30959,"Bassin Chézine BO3","BO3_01","Pb",2016-02-29 12:00:00,0.358,"ICP-MS 2008/2016"
"55",30960,"Bassin Chézine BO3","BO3_01","Sr",2016-02-29 12:00:00,0.068,"ICP-OES-1"
"56",30961,"Bassin Chézine BO3","BO3_01","Ti",2016-02-29 12:00:00,0.005,"ICP-OES-1"
"57",30962,"Bassin Chézine BO3","BO3_01","V",2016-02-29 12:00:00,0.618,"ICP-MS 2008/2016"
"58",30963,"Bassin Chézine BO3","BO3_01","Zn",2016-02-29 12:00:00,19.776,"ICP-MS 2008/2016"
"59",31419,"Bassin Chézine BO3","BO3_01","As",2016-03-04 12:00:00,2.817,"ICP-MS 2008/2016"
"60",31422,"Bassin Chézine BO3","BO3_01","Cd",2016-03-04 12:00:00,0.176,"ICP-MS 2008/2016"
"61",31424,"Bassin Chézine BO3","BO3_01","Cr",2016-03-04 12:00:00,1.051,"ICP-MS 2008/2016"
"62",31425,"Bassin Chézine BO3","BO3_01","Cu",2016-03-04 12:00:00,4.298,"ICP-MS 2008/2016"
"63",31430,"Bassin Chézine BO3","BO3_01","Mo",2016-03-04 12:00:00,0.039,"ICP-OES-1"
"64",31432,"Bassin Chézine BO3","BO3_01","Ni",2016-03-04 12:00:00,4.705,"ICP-MS 2008/2016"
"65",31434,"Bassin Chézine BO3","BO3_01","Pb",2016-03-04 12:00:00,0.794,"ICP-MS 2008/2016"
"66",31435,"Bassin Chézine BO3","BO3_01","Sr",2016-03-04 12:00:00,0.059,"ICP-OES-1"
"67",31436,"Bassin Chézine BO3","BO3_01","Ti",2016-03-04 12:00:00,0.007,"ICP-OES-1"
"68",31437,"Bassin Chézine BO3","BO3_01","V",2016-03-04 12:00:00,0.755,"ICP-MS 2008/2016"
"69",31438,"Bassin Chézine BO3","BO3_01","Zn",2016-03-04 12:00:00,29.105,"ICP-MS 2008/2016"
"70",32041,"Bassin Chézine BO3","BO3_01","As",2017-09-11 12:00:00,8.7896,"ICP-MS 2017/20xx-1"
"71",32044,"Bassin Chézine BO3","BO3_01","Cd",2017-09-11 12:00:00,0.0374,"ICP-MS 2017/20xx-1"
