"","X","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"1",35953,"Bassin Chézine BO3","BO3_01","Dieldrine",2017-09-11 12:00:00,0.001,"SBSE/GC/MS/MS INOVALYS"
"2",39095,"Bassin Chézine BO3","BO3_01","Prosulfocarbe",2017-10-20 12:00:00,0.01,"LC/MS/MS INOVALYS"
"3",40374,"Bassin Chézine BO3","BO3_03","Diuron solide",2017-05-10 12:20:00,0.125,"LC/MS/MS ICPEES"
"4",40382,"Bassin Chézine BO3","BO3_03","Propiconazole solide",2017-05-10 12:20:00,0.213,"LC/MS/MS ICPEES"
"5",40887,"Bassin Chézine BO3","BO3_01","Terbutryn solide",2017-05-10 12:55:00,0.341,"LC/MS/MS ICPEES"
"6",40895,"Bassin Chézine BO3","BO3_01","Diuron solide",2017-05-10 12:55:00,0.579,"LC/MS/MS ICPEES"
"7",40932,"Bassin Chézine BO3","BO3_03","Dieldrine",2018-06-04 15:00:00,0.002,"SBSE/GC/MS/MS INOVALYS"
"8",41642,"Bassin Chézine BO3","BO3_02","Diuron solide",2017-05-10 12:34:00,0.108,"LC/MS/MS ICPEES"
"9",41659,"Bassin Chézine BO3","BO3_03","AMPA",2017-05-10 12:20:00,32.4,"LC/MS/MS ICPEES"
"10",41661,"Bassin Chézine BO3","BO3_03","Glyphosate",2017-05-10 12:20:00,0.2,"LC/MS/MS ICPEES"
"11",41662,"Bassin Chézine BO3","BO3_01","AMPA",2017-05-10 12:55:00,6.1,"LC/MS/MS ICPEES"
"12",41683,"Bassin Chézine BO3","BO3_02","Glyphosate",2017-05-10 12:34:00,0.1,"LC/MS/MS ICPEES"
"13",41685,"Bassin Chézine BO3","BO3_02","AMPA",2017-05-10 12:34:00,14.4,"LC/MS/MS ICPEES"
"14",43099,"Bassin Chézine BO3","BO3_01","Dieldrine",2017-09-25 12:00:00,0.001,"SBSE/GC/MS/MS INOVALYS"
"15",44363,"Bassin Chézine BO3","BO3_03","Atrazine 2 hydroxy",2017-09-11 12:00:00,0.01,"LC/MS/MS INOVALYS"
"16",45407,"Bassin Chézine BO3","BO3_01","Simazine",2018-03-28 12:05:00,0.01,"LC/MS/MS INOVALYS"
"17",46692,"Bassin Chézine BO3","BO3_01","Simazine",2018-06-04 15:00:00,0.01,"LC/MS/MS INOVALYS"
"18",51375,"Bassin Chézine BO3","BO3_01","Propiconazole solide",2018-06-27 00:00:00,108,"LC/MS/MS ICPEES"
"19",51389,"Bassin Chézine BO3","BO3_03","Propiconazole solide",2018-06-27 00:00:00,206,"LC/MS/MS ICPEES"
"20",51420,"Bassin Chézine BO3","BO3_02","Terbutryn solide",2018-06-27 00:00:00,932,"LC/MS/MS ICPEES"
"21",51423,"Bassin Chézine BO3","BO3_02","Diuron solide",2018-06-27 00:00:00,32.1,"LC/MS/MS ICPEES"
"22",51432,"Bassin Chézine BO3","BO3_02","Propiconazole solide",2018-06-27 00:00:00,57,"LC/MS/MS ICPEES"
"23",52006,"Bassin Chézine BO3","BO3_03","AMPA",2018-07-02 00:15:00,0.044,"LC/MS/MS INOVALYS"
"24",52777,"Bassin Chézine BO3","BO3_03","Prosulfocarbe",2018-11-07 02:30:00,0.04,"LC/MS/MS INOVALYS"
"25",54659,"Bassin Chézine BO3","BO3_01","Prosulfocarbe",2018-11-06 23:40:00,0.03,"LC/MS/MS INOVALYS"
"26",54762,"Bassin Chézine BO3","BO3_01","Dieldrine",2018-11-06 23:40:00,0.001,"SBSE/GC/MS/MS INOVALYS"
"27",55230,"Bassin Chézine BO3","BO3_01","AMPA",2018-07-02 00:00:00,0.037,"LC/MS/MS INOVALYS"
"28",55734,"Bassin Chézine BO3","BO3_03","Atrazine 2 hydroxy",2018-06-04 15:00:00,0.01,"LC/MS/MS INOVALYS"
