"","Parametre","Station","Site","count"
"1","1 (3.4 DiChloroPhényl) 3 MéthylUrée","BO3 - entrée / BO3_01","Bassin Chézine BO3",9
"2","1 (3.4 DiChloroPhényl) 3 MéthylUrée","BO3 - sortie / BO3_03","Bassin Chézine BO3",9
"3","1 (3.4 DiChloroPhényl) 3 MéthylUrée","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",5
"4","1 (3.4 DiChloroPhényl) 3 MéthylUrée","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",5
"5","1 (3.4 DiChloroPhényl) 3 MéthylUrée","VaB entree / VaB_03","Bassin Ville au Blanc",4
"6","1 (3.4 DiChloroPhényl) 3 MéthylUrée","VaB sortie / VaB_04","Bassin Ville au Blanc",4
"7","1 (3.4 DiChloroPhényl) Urée (= DCPU)","BO3 - entrée / BO3_01","Bassin Chézine BO3",9
"8","1 (3.4 DiChloroPhényl) Urée (= DCPU)","BO3 - sortie / BO3_03","Bassin Chézine BO3",9
"9","1 (3.4 DiChloroPhényl) Urée (= DCPU)","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",5
"10","1 (3.4 DiChloroPhényl) Urée (= DCPU)","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",5
"11","1 (3.4 DiChloroPhényl) Urée (= DCPU)","VaB entree / VaB_03","Bassin Ville au Blanc",4
"12","1 (3.4 DiChloroPhényl) Urée (= DCPU)","VaB sortie / VaB_04","Bassin Ville au Blanc",4
"13","1 (4 isopropylphényl) urée (=IPPU)","BO3 - entrée / BO3_01","Bassin Chézine BO3",9
"14","1 (4 isopropylphényl) urée (=IPPU)","BO3 - sortie / BO3_03","Bassin Chézine BO3",9
"15","1 (4 isopropylphényl) urée (=IPPU)","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",5
"16","1 (4 isopropylphényl) urée (=IPPU)","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",5
"17","1 (4 isopropylphényl) urée (=IPPU)","VaB entree / VaB_03","Bassin Ville au Blanc",4
"18","1 (4 isopropylphényl) urée (=IPPU)","VaB sortie / VaB_04","Bassin Ville au Blanc",4
"19","2 amino N isopropylbenzamide","BO3 - entrée / BO3_01","Bassin Chézine BO3",9
"20","2 amino N isopropylbenzamide","BO3 - sortie / BO3_03","Bassin Chézine BO3",9
"21","2 amino N isopropylbenzamide","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",5
"22","2 amino N isopropylbenzamide","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",5
"23","2 amino N isopropylbenzamide","VaB entree / VaB_03","Bassin Ville au Blanc",4
"24","2 amino N isopropylbenzamide","VaB sortie / VaB_04","Bassin Ville au Blanc",4
"25","2 Chloro N (2.6 DiEthylPhényl)","BO3 - entrée / BO3_01","Bassin Chézine BO3",9
"26","2 Chloro N (2.6 DiEthylPhényl)","BO3 - sortie / BO3_03","Bassin Chézine BO3",9
"27","2 Chloro N (2.6 DiEthylPhényl)","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",5
"28","2 Chloro N (2.6 DiEthylPhényl)","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",5
"29","2 Chloro N (2.6 DiEthylPhényl)","VaB entree / VaB_03","Bassin Ville au Blanc",4
"30","2 Chloro N (2.6 DiEthylPhényl)","VaB sortie / VaB_04","Bassin Ville au Blanc",4
"31","2.4 D isopropyl ester","BO3 - entrée / BO3_01","Bassin Chézine BO3",9
"32","2.4 D isopropyl ester","BO3 - sortie / BO3_03","Bassin Chézine BO3",9
"33","2.4 D isopropyl ester","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",5
"34","2.4 D isopropyl ester","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",5
"35","2.4 D isopropyl ester","VaB entree / VaB_03","Bassin Ville au Blanc",4
"36","2.4 D isopropyl ester","VaB sortie / VaB_04","Bassin Ville au Blanc",4
"37","2.6 Diéthylaniline","BO3 - entrée / BO3_01","Bassin Chézine BO3",9
"38","2.6 Diéthylaniline","BO3 - sortie / BO3_03","Bassin Chézine BO3",9
"39","2.6 Diéthylaniline","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",5
"40","2.6 Diéthylaniline","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",5
"41","2.6 Diéthylaniline","VaB entree / VaB_03","Bassin Ville au Blanc",4
"42","2.6 Diéthylaniline","VaB sortie / VaB_04","Bassin Ville au Blanc",4
"43","2.6 Dichlorobenzamide","BO3 - entrée / BO3_01","Bassin Chézine BO3",9
"44","2.6 Dichlorobenzamide","BO3 - sortie / BO3_03","Bassin Chézine BO3",9
"45","2.6 Dichlorobenzamide","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",5
"46","2.6 Dichlorobenzamide","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",5
"47","2.6 Dichlorobenzamide","VaB entree / VaB_03","Bassin Ville au Blanc",4
"48","2.6 Dichlorobenzamide","VaB sortie / VaB_04","Bassin Ville au Blanc",4
"49","24DME","BO3 - entrée / BO3_01","Bassin Chézine BO3",4
"50","24DME","BO3 - sortie / BO3_03","Bassin Chézine BO3",4
"51","24DME","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",1
"52","24DME","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",1
"53","24DME","VaB entree / VaB_03","Bassin Ville au Blanc",1
"54","24DME","VaB sortie / VaB_04","Bassin Ville au Blanc",1
"55","2metFla_f0.45um","Puits 7 / PDM_0022","Prairie de Mauves",1
"56","2metFla_f0.45um","PZ5 / PDM_0005","Prairie de Mauves",4
"57","2metFla_f0.45um","PZ6 / PDM_0006","Prairie de Mauves",1
"58","2metFla_f0.45um","PZ7 / PDM_0007","Prairie de Mauves",4
"59","2metFla_f0.45um","PZ8 / PDM_0008","Prairie de Mauves",1
"60","2metNap_f0.45um","Puits 7 / PDM_0022","Prairie de Mauves",1
"61","2metNap_f0.45um","PZ5 / PDM_0005","Prairie de Mauves",4
"62","2metNap_f0.45um","PZ6 / PDM_0006","Prairie de Mauves",1
"63","2metNap_f0.45um","PZ7 / PDM_0007","Prairie de Mauves",4
"64","2metNap_f0.45um","PZ8 / PDM_0008","Prairie de Mauves",1
"65","Acénaphtène","BO3 - entrée / BO3_01","Bassin Chézine BO3",9
"66","Acénaphtène","BO3 - sortie / BO3_03","Bassin Chézine BO3",9
"67","Acénaphtène","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",5
"68","Acénaphtène","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",5
"69","Acénaphtène","Puits 2 / PDM_0017","Prairie de Mauves",5
"70","Acénaphtène","Puits 4 / PDM_0019","Prairie de Mauves",1
"71","Acénaphtène","Puits 6 / PDM_0021","Prairie de Mauves",2
"72","Acénaphtène","Puits 7 / PDM_0022","Prairie de Mauves",1
"73","Acénaphtène","PZ11 / PDM_0080","Prairie de Mauves",3
"74","Acénaphtène","PZ16 / PDM_0088","Prairie de Mauves",2
"75","Acénaphtène","PZ5 / PDM_0005","Prairie de Mauves",14
"76","Acénaphtène","PZ5 Long / PDM_0086","Prairie de Mauves",2
"77","Acénaphtène","PZ6 / PDM_0006","Prairie de Mauves",8
"78","Acénaphtène","PZ7 / PDM_0007","Prairie de Mauves",14
"79","Acénaphtène","PZ8 / PDM_0008","Prairie de Mauves",6
"80","Acénaphtène","PZ9bis / PDM_0009","Prairie de Mauves",7
"81","Acénaphtène","VaB entree / VaB_03","Bassin Ville au Blanc",4
"82","Acénaphtène","VaB sortie / VaB_04","Bassin Ville au Blanc",4
"83","Acénaphtène solide","BO3 - entrée / BO3_01","Bassin Chézine BO3",2
"84","Acénaphtène solide","BO3 - milieu / BO3_02","Bassin Chézine BO3",2
"85","Acénaphtène solide","BO3 - sortie / BO3_03","Bassin Chézine BO3",2
"86","Acénaphtène solide","C1 / PDM_0068","Prairie de Mauves",4
"87","Acénaphtène solide","C2 / PDM_0069","Prairie de Mauves",5
"88","Acénaphtène solide","C3 / PDM_0070","Prairie de Mauves",3
"89","Acénaphtène solide","F1 / PDM_0076","Prairie de Mauves",1
"90","Acénaphtène solide","F4 / PDM_0077","Prairie de Mauves",2
"91","Acénaphtène solide","Noue Brosse entrée / NB_02","Noue ZAC de la Brosse",1
"92","Acénaphtène solide","Noue Brosse milieu / NB_03","Noue ZAC de la Brosse",1
"93","Acénaphtène solide","Noue Brosse sortie / NB_01","Noue ZAC de la Brosse",1
"94","Acénaphtène solide","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",1
"95","Acénaphtène solide","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",1
"96","Acénaphtène solide","Noue_Dumont_Milieu / EcoQUA_017","Écoquartier Bottière-Chesnaie",1
"97","Acénaphtène solide","VaB entree / VaB_03","Bassin Ville au Blanc",2
"98","Acénaphtène solide","VaB milieu / VaB_05","Bassin Ville au Blanc",2
"99","Acénaphtène solide","VaB sortie / VaB_04","Bassin Ville au Blanc",2
"100","Acénaphtylène","BO3 - entrée / BO3_01","Bassin Chézine BO3",9
"101","Acénaphtylène","BO3 - sortie / BO3_03","Bassin Chézine BO3",9
"102","Acénaphtylène","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",5
"103","Acénaphtylène","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",5
"104","Acénaphtylène","Puits 2 / PDM_0017","Prairie de Mauves",5
"105","Acénaphtylène","Puits 4 / PDM_0019","Prairie de Mauves",1
"106","Acénaphtylène","Puits 6 / PDM_0021","Prairie de Mauves",2
"107","Acénaphtylène","Puits 7 / PDM_0022","Prairie de Mauves",1
"108","Acénaphtylène","PZ11 / PDM_0080","Prairie de Mauves",3
"109","Acénaphtylène","PZ16 / PDM_0088","Prairie de Mauves",2
"110","Acénaphtylène","PZ5 / PDM_0005","Prairie de Mauves",14
"111","Acénaphtylène","PZ5 Long / PDM_0086","Prairie de Mauves",2
"112","Acénaphtylène","PZ6 / PDM_0006","Prairie de Mauves",8
"113","Acénaphtylène","PZ7 / PDM_0007","Prairie de Mauves",14
"114","Acénaphtylène","PZ8 / PDM_0008","Prairie de Mauves",6
"115","Acénaphtylène","PZ9bis / PDM_0009","Prairie de Mauves",7
"116","Acénaphtylène","VaB entree / VaB_03","Bassin Ville au Blanc",4
"117","Acénaphtylène","VaB sortie / VaB_04","Bassin Ville au Blanc",4
"118","Acénaphtylène solide","BO3 - entrée / BO3_01","Bassin Chézine BO3",2
"119","Acénaphtylène solide","BO3 - milieu / BO3_02","Bassin Chézine BO3",2
"120","Acénaphtylène solide","BO3 - sortie / BO3_03","Bassin Chézine BO3",2
"121","Acénaphtylène solide","C1 / PDM_0068","Prairie de Mauves",4
"122","Acénaphtylène solide","C2 / PDM_0069","Prairie de Mauves",5
"123","Acénaphtylène solide","C3 / PDM_0070","Prairie de Mauves",3
"124","Acénaphtylène solide","F1 / PDM_0076","Prairie de Mauves",1
"125","Acénaphtylène solide","F4 / PDM_0077","Prairie de Mauves",2
"126","Acénaphtylène solide","Noue Brosse entrée / NB_02","Noue ZAC de la Brosse",1
"127","Acénaphtylène solide","Noue Brosse milieu / NB_03","Noue ZAC de la Brosse",1
"128","Acénaphtylène solide","Noue Brosse sortie / NB_01","Noue ZAC de la Brosse",1
"129","Acénaphtylène solide","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",1
"130","Acénaphtylène solide","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",1
"131","Acénaphtylène solide","Noue_Dumont_Milieu / EcoQUA_017","Écoquartier Bottière-Chesnaie",1
"132","Acénaphtylène solide","VaB entree / VaB_03","Bassin Ville au Blanc",2
"133","Acénaphtylène solide","VaB milieu / VaB_05","Bassin Ville au Blanc",2
"134","Acénaphtylène solide","VaB sortie / VaB_04","Bassin Ville au Blanc",2
"135","Acétamipride","BO3 - entrée / BO3_01","Bassin Chézine BO3",8
"136","Acétamipride","BO3 - sortie / BO3_03","Bassin Chézine BO3",7
"137","Acétamipride","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",5
"138","Acétamipride","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",5
"139","Acétamipride","VaB entree / VaB_03","Bassin Ville au Blanc",4
