"","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"3729","Agglomération Nantaise","Bassin ZAC Minais / AN_003","Pt",2015-09-28 11:00:00,NA,"ICP-MS 2008/2016"
"3730","Agglomération Nantaise","Bassin ZAC Minais / AN_003","Zn",2015-09-28 11:00:00,7.3,"ICP-OES-1"
"3731","Agglomération Nantaise","Bassin ZAC Minais / AN_003","V",2015-09-28 11:00:00,1.874,"ICP-MS 2008/2016"
"3732","Agglomération Nantaise","Bassin ZAC Minais / AN_003","Ti",2015-09-28 11:00:00,0.005,"ICP-OES-1"
"3733","Agglomération Nantaise","Bassin ZAC Minais / AN_003","Sr",2015-09-28 11:00:00,0.103,"ICP-OES-1"
"3734","Agglomération Nantaise","Bassin ZAC Minais / AN_003","Pb",2015-09-28 11:00:00,0.967,"ICP-MS 2008/2016"
"3735","Agglomération Nantaise","Bassin ZAC Minais / AN_003","Phosphore total",2015-09-28 11:00:00,0.154,"ICP-OES-1"
"3736","Agglomération Nantaise","Bassin ZAC Minais / AN_003","Ni",2015-09-28 11:00:00,2.003,"ICP-MS 2008/2016"
"3737","Agglomération Nantaise","Bassin ZAC Minais / AN_003","Na",2015-09-28 11:00:00,16.33,"ICP-OES-1"
"3738","Agglomération Nantaise","Bassin ZAC Minais / AN_003","Mo",2015-09-28 11:00:00,NA,"ICP-OES-1"
"3739","Agglomération Nantaise","Bassin ZAC Minais / AN_003","Mn",2015-09-28 11:00:00,0.132,"ICP-OES-1"
"3740","Agglomération Nantaise","Bassin ZAC Minais / AN_003","Mg",2015-09-28 11:00:00,6.163,"ICP-OES-1"
"3741","Agglomération Nantaise","Bassin ZAC Minais / AN_003","K",2015-09-28 11:00:00,5.921,"ICP-OES-1"
"3742","Agglomération Nantaise","Bassin ZAC Minais / AN_003","Fe",2015-09-28 11:00:00,0.394,"ICP-OES-1"
"3743","Agglomération Nantaise","Bassin ZAC Minais / AN_003","Cu",2015-09-28 11:00:00,2.74,"ICP-MS 2008/2016"
"3744","Agglomération Nantaise","Bassin ZAC Minais / AN_003","Cr",2015-09-28 11:00:00,0.633,"ICP-MS 2008/2016"
"3745","Agglomération Nantaise","Bassin ZAC Minais / AN_003","Co",2015-09-28 11:00:00,NA,"ICP-OES-1"
"3746","Agglomération Nantaise","Bassin ZAC Minais / AN_003","Cd",2015-09-28 11:00:00,NA,"ICP-MS 2008/2016"
"3747","Agglomération Nantaise","Bassin ZAC Minais / AN_003","Ca",2015-09-28 11:00:00,29.36,"ICP-OES-1"
