"","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"2595","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Ti_CaCl2",2014-04-28 12:00:00,NA,"Extraction CaCl2 + ICP-OES"
"2596","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Sr_CaCl2",2014-04-28 12:00:00,0.16,"Extraction CaCl2 + ICP-OES"
"2597","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Pb_CaCl2",2014-04-28 12:00:00,0.13,"Extraction CaCl2 + ICP-MS"
"2598","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","P_CaCl2",2014-04-28 12:00:00,NA,"Extraction CaCl2 + ICP-OES"
"2599","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Ni_CaCl2",2014-04-28 12:00:00,13.66,"Extraction CaCl2 + ICP-MS"
"2600","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Na_CaCl2",2014-04-28 12:00:00,0.88,"Extraction CaCl2 + ICP-OES"
"2601","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Mo_CaCl2",2014-04-28 12:00:00,NA,"Extraction CaCl2 + ICP-OES"
"2602","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Mn_CaCl2",2014-04-28 12:00:00,0.83,"Extraction CaCl2 + ICP-OES"
"2603","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Mg_CaCl2",2014-04-28 12:00:00,5.27,"Extraction CaCl2 + ICP-OES"
"2604","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","K_CaCl2",2014-04-28 12:00:00,8.03,"Extraction CaCl2 + ICP-OES"
"2605","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Fe_CaCl2",2014-04-28 12:00:00,0.02,"Extraction CaCl2 + ICP-OES"
"2606","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Cu_CaCl2",2014-04-28 12:00:00,0.13,"Extraction CaCl2 + ICP-OES"
"2607","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Cr_CaCl2",2014-04-28 12:00:00,0.31,"Extraction CaCl2 + ICP-MS"
"2608","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Co_CaCl2",2014-04-28 12:00:00,0.01,"Extraction CaCl2 + ICP-OES"
"2609","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Cd_CaCl2",2014-04-28 12:00:00,1.3,"Extraction CaCl2 + ICP-MS"
"2610","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Ba_CaCl2",2014-04-28 12:00:00,0.22,"Extraction CaCl2 + ICP-OES"
"2611","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","As_CaCl2",2014-04-28 12:00:00,1.96,"Extraction CaCl2 + ICP-MS"
"2612","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Al_CaCl2",2014-04-28 12:00:00,0.12,"Extraction CaCl2 + ICP-OES"
"2613","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Zn_CaCl2",2014-04-28 12:00:00,169.2,"Extraction CaCl2 + ICP-MS"
"2614","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","V_CaCl2",2014-04-28 12:00:00,0.3,"Extraction CaCl2 + ICP-MS"
"2615","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Sr_CaCl2",2014-04-28 12:00:00,0.17,"Extraction CaCl2 + ICP-OES"
"2616","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Pb_CaCl2",2014-04-28 12:00:00,0.17,"Extraction CaCl2 + ICP-MS"
"2617","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Ni_CaCl2",2014-04-28 12:00:00,14.34,"Extraction CaCl2 + ICP-MS"
"2618","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Na_CaCl2",2014-04-28 12:00:00,0.75,"Extraction CaCl2 + ICP-OES"
"2619","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Mn_CaCl2",2014-04-28 12:00:00,0.64,"Extraction CaCl2 + ICP-OES"
"2620","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Mg_CaCl2",2014-04-28 12:00:00,4.94,"Extraction CaCl2 + ICP-OES"
"2621","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","K_CaCl2",2014-04-28 12:00:00,6.14,"Extraction CaCl2 + ICP-OES"
"2622","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Fe_CaCl2",2014-04-28 12:00:00,0.01,"Extraction CaCl2 + ICP-OES"
"2623","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Cu_CaCl2",2014-04-28 12:00:00,0.16,"Extraction CaCl2 + ICP-OES"
"2624","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Cr_CaCl2",2014-04-28 12:00:00,0.32,"Extraction CaCl2 + ICP-MS"
"2625","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Co_CaCl2",2014-04-28 12:00:00,0,"Extraction CaCl2 + ICP-OES"
"2626","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Cd_CaCl2",2014-04-28 12:00:00,1.35,"Extraction CaCl2 + ICP-MS"
"2627","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","As_CaCl2",2014-04-28 12:00:00,2.06,"Extraction CaCl2 + ICP-MS"
"2628","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Zn_CaCl2",2014-04-28 12:00:00,135.1,"Extraction CaCl2 + ICP-MS"
"2629","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","V_CaCl2",2014-04-28 12:00:00,0.25,"Extraction CaCl2 + ICP-MS"
"2630","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Sr_CaCl2",2014-04-28 12:00:00,0.13,"Extraction CaCl2 + ICP-OES"
"2631","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Pb_CaCl2",2014-04-28 12:00:00,0.18,"Extraction CaCl2 + ICP-MS"
"2632","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Ni_CaCl2",2014-04-28 12:00:00,9.64,"Extraction CaCl2 + ICP-MS"
