"","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"2497","Bassin Chézine BO3","BO3 - milieu / BO3_02","Zn_sol",2016-04-21 12:00:00,59.763,"Fluorescence X labo_sol"
"2498","Bassin Chézine BO3","BO3 - milieu / BO3_02","V_sol",2016-04-21 12:00:00,NA,"Fluorescence X labo_sol"
"2499","Bassin Chézine BO3","BO3 - milieu / BO3_02","Ti_sol",2016-04-21 12:00:00,2260.61,"Fluorescence X labo_sol"
"2500","Bassin Chézine BO3","BO3 - milieu / BO3_02","Sr_sol",2016-04-21 12:00:00,90.843,"Fluorescence X labo_sol"
"2501","Bassin Chézine BO3","BO3 - milieu / BO3_02","Pb_sol",2016-04-21 12:00:00,12.265,"Fluorescence X labo_sol"
"2502","Bassin Chézine BO3","BO3 - milieu / BO3_02","P_sol",2016-04-21 12:00:00,NA,"Fluorescence X labo_sol"
"2503","Bassin Chézine BO3","BO3 - milieu / BO3_02","Ni_sol",2016-04-21 12:00:00,NA,"Fluorescence X labo_sol"
"2504","Bassin Chézine BO3","BO3 - milieu / BO3_02","Mo_sol",2016-04-21 12:00:00,NA,"Fluorescence X labo_sol"
"2505","Bassin Chézine BO3","BO3 - milieu / BO3_02","Mn_sol",2016-04-21 12:00:00,135.057,"Fluorescence X labo_sol"
"2506","Bassin Chézine BO3","BO3 - milieu / BO3_02","Mg_sol",2016-04-21 12:00:00,NA,"Fluorescence X labo_sol"
"2507","Bassin Chézine BO3","BO3 - milieu / BO3_02","K_sol",2016-04-21 12:00:00,28491.163,"Fluorescence X labo_sol"
"2508","Bassin Chézine BO3","BO3 - milieu / BO3_02","Fe_sol",2016-04-21 12:00:00,18318.69,"Fluorescence X labo_sol"
"2509","Bassin Chézine BO3","BO3 - milieu / BO3_02","Cu_sol",2016-04-21 12:00:00,NA,"Fluorescence X labo_sol"
"2510","Bassin Chézine BO3","BO3 - milieu / BO3_02","Cr_sol",2016-04-21 12:00:00,51.185,"Fluorescence X labo_sol"
"2511","Bassin Chézine BO3","BO3 - milieu / BO3_02","Co_sol",2016-04-21 12:00:00,NA,"Fluorescence X labo_sol"
"2512","Bassin Chézine BO3","BO3 - milieu / BO3_02","Cd_sol",2016-04-21 12:00:00,NA,"Fluorescence X labo_sol"
"2513","Bassin Chézine BO3","BO3 - milieu / BO3_02","Ca_sol",2016-04-21 12:00:00,3645.29,"Fluorescence X labo_sol"
"2514","Bassin Chézine BO3","BO3 - milieu / BO3_02","Ba_sol",2016-04-21 12:00:00,320.99,"Fluorescence X labo_sol"
"2515","Bassin Chézine BO3","BO3 - milieu / BO3_02","As_sol",2016-04-21 12:00:00,10.6,"Fluorescence X labo_sol"
"2516","Bassin Chézine BO3","BO3 - milieu / BO3_02","MS",2016-04-21 12:00:00,87.32,"Étuvage non ventilé à 105°C + Gravimétrie"
"2517","Bassin Chézine BO3","BO3 - milieu / BO3_02","Zn_sol",2016-04-21 12:00:00,46.247,"Fluorescence X labo_sol"
"2518","Bassin Chézine BO3","BO3 - milieu / BO3_02","Ti_sol",2016-04-21 12:00:00,2703.533,"Fluorescence X labo_sol"
"2519","Bassin Chézine BO3","BO3 - milieu / BO3_02","Sr_sol",2016-04-21 12:00:00,85.243,"Fluorescence X labo_sol"
"2520","Bassin Chézine BO3","BO3 - milieu / BO3_02","Pb_sol",2016-04-21 12:00:00,21.93,"Fluorescence X labo_sol"
"2521","Bassin Chézine BO3","BO3 - milieu / BO3_02","Mn_sol",2016-04-21 12:00:00,236.717,"Fluorescence X labo_sol"
"2522","Bassin Chézine BO3","BO3 - milieu / BO3_02","K_sol",2016-04-21 12:00:00,21509.693,"Fluorescence X labo_sol"
"2523","Bassin Chézine BO3","BO3 - milieu / BO3_02","Fe_sol",2016-04-21 12:00:00,17269.83,"Fluorescence X labo_sol"
"2524","Bassin Chézine BO3","BO3 - milieu / BO3_02","Cr_sol",2016-04-21 12:00:00,45.873,"Fluorescence X labo_sol"
"2525","Bassin Chézine BO3","BO3 - milieu / BO3_02","Ca_sol",2016-04-21 12:00:00,3104.287,"Fluorescence X labo_sol"
"2526","Bassin Chézine BO3","BO3 - milieu / BO3_02","Ba_sol",2016-04-21 12:00:00,359.06,"Fluorescence X labo_sol"
"2527","Bassin Chézine BO3","BO3 - milieu / BO3_02","As_sol",2016-04-21 12:00:00,14.225,"Fluorescence X labo_sol"
"2528","Bassin Chézine BO3","BO3 - milieu / BO3_02","MS",2016-04-21 12:00:00,81.656,"Étuvage non ventilé à 105°C + Gravimétrie"
"2529","Bassin Chézine BO3","BO3 - milieu / BO3_02","Zn_sol",2016-04-21 12:00:00,47.997,"Fluorescence X labo_sol"
"2530","Bassin Chézine BO3","BO3 - milieu / BO3_02","Ti_sol",2016-04-21 12:00:00,2549.72,"Fluorescence X labo_sol"
"2531","Bassin Chézine BO3","BO3 - milieu / BO3_02","Sr_sol",2016-04-21 12:00:00,43.353,"Fluorescence X labo_sol"
"2532","Bassin Chézine BO3","BO3 - milieu / BO3_02","Pb_sol",2016-04-21 12:00:00,20.72,"Fluorescence X labo_sol"
"2533","Bassin Chézine BO3","BO3 - milieu / BO3_02","Mn_sol",2016-04-21 12:00:00,394.65,"Fluorescence X labo_sol"
