"","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"27714","BV Cens","CENS à NANTES / 04146950","Phosphore total",2006-08-29 14:00:00,0.16,"Méthode inconnue liquide"
"27715","BV Cens","CENS à NANTES / 04146950","Nitrites",2006-08-29 14:00:00,0.11,"Méthode inconnue liquide"
"27716","BV Cens","CENS à NANTES / 04146950","Azote ammoniacal",2006-08-29 14:00:00,0.16,"Méthode inconnue liquide"
"27717","BV Cens","CENS à NANTES / 04146950","DBO5 sur échantillon homogène",2006-08-29 14:00:00,6,"Méthode inconnue liquide"
"27718","BV Cens","CENS à NANTES / 04146950","EC_25C_insitu",2006-08-29 14:00:00,354,"Méthode inconnue liquide"
"27719","BV Cens","CENS à NANTES / 04146950","pH_insitu",2006-08-29 14:00:00,7.5,"Méthode inconnue liquide"
"27720","BV Cens","CENS à NANTES / 04146950","O2_insitu",2006-08-29 14:00:00,9.1,"Méthode inconnue liquide"
"27721","BV Cens","CENS à NANTES / 04146950","DCO sur échantillon homogène",2006-08-29 14:00:00,30,"Méthode inconnue liquide"
"27722","BV Cens","CENS à NANTES / 04146950","Chlorures",2006-08-29 14:00:00,2,"Méthode inconnue liquide"
"27723","BV Cens","CENS à NANTES / 04146950","Nitrates",2006-08-29 14:00:00,1.3,"Méthode inconnue liquide"
"27724","BV Cens","CENS à NANTES / 04146950","Phosphates",2006-08-29 14:00:00,0.22,"Méthode inconnue liquide"
"27725","BV Cens","CENS à NANTES / 04146950","pH_insitu",2006-11-20 11:20:00,7.36,"Méthode inconnue liquide"
"27726","BV Cens","CENS à NANTES / 04146950","EC_25C_insitu",2006-11-20 11:20:00,259,"Méthode inconnue liquide"
"27727","BV Cens","CENS à NANTES / 04146950","O2_insitu",2006-11-20 11:20:00,11.68,"Méthode inconnue liquide"
"27728","BV Cens","CENS à NANTES / 04146950","DBO5 sur échantillon homogène",2006-11-20 11:20:00,2.7,"Méthode inconnue liquide"
"27729","BV Cens","CENS à NANTES / 04146950","DCO sur échantillon homogène",2006-11-20 11:20:00,38,"Méthode inconnue liquide"
"27730","BV Cens","CENS à NANTES / 04146950","Azote ammoniacal",2006-11-20 11:20:00,0.15,"Méthode inconnue liquide"
"27731","BV Cens","CENS à NANTES / 04146950","Chlorures",2006-11-20 11:20:00,29,"Méthode inconnue liquide"
"27732","BV Cens","CENS à NANTES / 04146950","Nitrites",2006-11-20 11:20:00,0.12,"Méthode inconnue liquide"
"27733","BV Cens","CENS à NANTES / 04146950","Nitrates",2006-11-20 11:20:00,9.6,"Méthode inconnue liquide"
"27734","BV Cens","CENS à NANTES / 04146950","Phosphore total",2006-11-20 11:20:00,0.27,"Méthode inconnue liquide"
"27735","BV Cens","CENS à NANTES / 04146950","Phosphates",2006-11-20 11:20:00,0.37,"Méthode inconnue liquide"
"27736","BV Cens","CENS à NANTES / 04146950","Phosphates",2006-09-13 11:05:00,0.26,"Méthode inconnue liquide"
"27737","BV Cens","CENS à NANTES / 04146950","Phosphore total",2006-09-13 11:05:00,0.22,"Méthode inconnue liquide"
"27738","BV Cens","CENS à NANTES / 04146950","Nitrates",2006-09-13 11:05:00,4,"Méthode inconnue liquide"
"27739","BV Cens","CENS à NANTES / 04146950","Nitrites",2006-09-13 11:05:00,0.14,"Méthode inconnue liquide"
"27740","BV Cens","CENS à NANTES / 04146950","Chlorures",2006-09-13 11:05:00,14,"Méthode inconnue liquide"
"27741","BV Cens","CENS à NANTES / 04146950","Azote ammoniacal",2006-09-13 11:05:00,0.38,"Méthode inconnue liquide"
"27742","BV Cens","CENS à NANTES / 04146950","DCO sur échantillon homogène",2006-09-13 11:05:00,2.4,"Méthode inconnue liquide"
"27743","BV Cens","CENS à NANTES / 04146950","DBO5 sur échantillon homogène",2006-09-13 11:05:00,2.4,"Méthode inconnue liquide"
"27744","BV Cens","CENS à NANTES / 04146950","O2_insitu",2006-09-13 11:05:00,5.64,"Méthode inconnue liquide"
"27745","BV Cens","CENS à NANTES / 04146950","EC_25C_insitu",2006-09-13 11:05:00,295,"Méthode inconnue liquide"
