"","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"5882","Bassin Ville au Blanc","VaB sortie / VaB_04","V",2015-09-28 10:30:00,20.714,"ICP-MS 2008/2016"
"5883","Bassin Ville au Blanc","VaB sortie / VaB_04","Ti",2015-09-28 10:30:00,0.121,"ICP-OES-1"
"5884","Bassin Ville au Blanc","VaB sortie / VaB_04","Sr",2015-09-28 10:30:00,0.09,"ICP-OES-1"
"5885","Bassin Ville au Blanc","VaB sortie / VaB_04","Pb",2015-09-28 10:30:00,32.242,"ICP-MS 2008/2016"
"5886","Bassin Ville au Blanc","VaB sortie / VaB_04","Phosphore total",2015-09-28 10:30:00,0.607,"ICP-OES-1"
"5887","Bassin Ville au Blanc","VaB sortie / VaB_04","Ni",2015-09-28 10:30:00,24.317,"ICP-MS 2008/2016"
"5888","Bassin Ville au Blanc","VaB sortie / VaB_04","Na",2015-09-28 10:30:00,19.899,"ICP-OES-1"
"5889","Bassin Ville au Blanc","VaB sortie / VaB_04","Mo",2015-09-28 10:30:00,NA,"ICP-OES-1"
"5890","Bassin Ville au Blanc","VaB sortie / VaB_04","Zn",2015-09-28 10:30:00,178.2,"ICP-OES-1"
"5891","Bassin Ville au Blanc","VaB sortie / VaB_04","Mn",2015-09-28 10:30:00,0.588,"ICP-OES-1"
"5892","Bassin Ville au Blanc","VaB sortie / VaB_04","Mg",2015-09-28 10:30:00,10.404,"ICP-OES-1"
"5893","Bassin Ville au Blanc","VaB sortie / VaB_04","K",2015-09-28 10:30:00,6.108,"ICP-OES-1"
"5894","Bassin Ville au Blanc","VaB sortie / VaB_04","Fe",2015-09-28 10:30:00,12.729,"ICP-OES-1"
"5895","Bassin Ville au Blanc","VaB sortie / VaB_04","Cu",2015-09-28 10:30:00,50.622,"ICP-MS 2008/2016"
"5896","Bassin Ville au Blanc","VaB sortie / VaB_04","Cr",2015-09-28 10:30:00,22.106,"ICP-MS 2008/2016"
"5897","Bassin Ville au Blanc","VaB sortie / VaB_04","Co",2015-09-28 10:30:00,NA,"ICP-OES-1"
"5898","Bassin Ville au Blanc","VaB sortie / VaB_04","Cd",2015-09-28 10:30:00,NA,"ICP-MS 2008/2016"
