"","X","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"1",2366,"Prairie de Mauves","PDM_0005","Pyr_f0.45um",2011-11-15 10:25:00,0.005,"GC/MS(/MS) (L/L hexane)"
"2",2883,"Prairie de Mauves","PDM_0005","BkFla_f0.45um",2012-06-28 00:00:00,0.005,"GC/MS(/MS) (L/L hexane)"
"3",4007,"Prairie de Mauves","PDM_0007","BaAnt_f0.45um",2012-02-06 13:00:00,0.005,"GC/MS(/MS) (L/L hexane)"
"4",7065,"Prairie de Mauves","PDM_0005","BkFla_f0.45um",2012-02-06 17:20:00,0.005,"GC/MS(/MS) (L/L hexane)"
"5",7068,"Prairie de Mauves","PDM_0005","BaPyr_f0.45um",2012-02-06 17:20:00,0.005,"GC/MS(/MS) (L/L hexane)"
"6",7069,"Prairie de Mauves","PDM_0005","BaAnt_f0.45um",2012-02-06 17:20:00,0.005,"GC/MS(/MS) (L/L hexane)"
"7",7073,"Prairie de Mauves","PDM_0005","Fla_f0.45um",2012-02-06 17:20:00,0.005,"GC/MS(/MS) (L/L hexane)"
"8",7079,"Prairie de Mauves","PDM_0005","Pyr_f0.45um",2012-02-06 17:20:00,0.005,"GC/MS(/MS) (L/L hexane)"
"9",13776,"Prairie de Mauves","PDM_0008","BkFla_f0.45um",2012-06-28 00:00:00,0.005,"GC/MS(/MS) (L/L hexane)"
"10",13779,"Prairie de Mauves","PDM_0008","BaPyr_f0.45um",2012-06-28 00:00:00,0.005,"GC/MS(/MS) (L/L hexane)"
"11",13780,"Prairie de Mauves","PDM_0008","BaAnt_f0.45um",2012-06-28 00:00:00,0.005,"GC/MS(/MS) (L/L hexane)"
"12",13784,"Prairie de Mauves","PDM_0008","Fla_f0.45um",2012-06-28 00:00:00,0.005,"GC/MS(/MS) (L/L hexane)"
"13",13791,"Prairie de Mauves","PDM_0008","Pyr_f0.45um",2012-06-28 00:00:00,0.005,"GC/MS(/MS) (L/L hexane)"
"14",14494,"Prairie de Mauves","PDM_0006","BkFla_f0.45um",2012-06-28 00:00:00,0.005,"GC/MS(/MS) (L/L hexane)"
"15",14497,"Prairie de Mauves","PDM_0006","BaPyr_f0.45um",2012-06-28 00:00:00,0.005,"GC/MS(/MS) (L/L hexane)"
"16",14498,"Prairie de Mauves","PDM_0006","BaAnt_f0.45um",2012-06-28 00:00:00,0.005,"GC/MS(/MS) (L/L hexane)"
"17",14501,"Prairie de Mauves","PDM_0006","Fla_f0.45um",2012-06-28 00:00:00,0.005,"GC/MS(/MS) (L/L hexane)"
"18",14508,"Prairie de Mauves","PDM_0006","Pyr_f0.45um",2012-06-28 00:00:00,0.005,"GC/MS(/MS) (L/L hexane)"
"19",14562,"Prairie de Mauves","PDM_0007","BkFla_f0.45um",2011-09-20 08:35:00,0.005,"GC/MS(/MS) (L/L hexane)"
"20",14565,"Prairie de Mauves","PDM_0007","BaPyr_f0.45um",2011-09-20 08:35:00,0.005,"GC/MS(/MS) (L/L hexane)"
"21",14566,"Prairie de Mauves","PDM_0007","BaAnt_f0.45um",2011-09-20 08:35:00,0.005,"GC/MS(/MS) (L/L hexane)"
"22",14570,"Prairie de Mauves","PDM_0007","Fla_f0.45um",2011-09-20 08:35:00,0.005,"GC/MS(/MS) (L/L hexane)"
"23",14577,"Prairie de Mauves","PDM_0007","Pyr_f0.45um",2011-09-20 08:35:00,0.005,"GC/MS(/MS) (L/L hexane)"
"24",15607,"Prairie de Mauves","PDM_0022","BkFla_f0.45um",2012-06-28 00:00:00,0.005,"GC/MS(/MS) (L/L hexane)"
"25",15610,"Prairie de Mauves","PDM_0022","BaPyr_f0.45um",2012-06-28 00:00:00,0.005,"GC/MS(/MS) (L/L hexane)"
"26",15611,"Prairie de Mauves","PDM_0022","BaAnt_f0.45um",2012-06-28 00:00:00,0.005,"GC/MS(/MS) (L/L hexane)"
"27",15615,"Prairie de Mauves","PDM_0022","Fla_f0.45um",2012-06-28 00:00:00,0.005,"GC/MS(/MS) (L/L hexane)"
"28",15622,"Prairie de Mauves","PDM_0022","Pyr_f0.45um",2012-06-28 00:00:00,0.005,"GC/MS(/MS) (L/L hexane)"
"29",16266,"Prairie de Mauves","PDM_0007","BkFla_f0.45um",2012-02-06 13:00:00,0.005,"GC/MS(/MS) (L/L hexane)"
"30",16269,"Prairie de Mauves","PDM_0007","BaPyr_f0.45um",2012-02-06 13:00:00,0.005,"GC/MS(/MS) (L/L hexane)"
"31",16273,"Prairie de Mauves","PDM_0007","Fla_f0.45um",2012-02-06 13:00:00,0.005,"GC/MS(/MS) (L/L hexane)"
