"","X","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"1",2596,"Autres sites LEE","Autre_LEE_02","Sr_CaCl2",2014-04-28 12:00:00,0.16,"Extraction CaCl2 + ICP-OES"
"2",2597,"Autres sites LEE","Autre_LEE_02","Pb_CaCl2",2014-04-28 12:00:00,0.13,"Extraction CaCl2 + ICP-MS"
"3",2599,"Autres sites LEE","Autre_LEE_02","Ni_CaCl2",2014-04-28 12:00:00,13.66,"Extraction CaCl2 + ICP-MS"
"4",2606,"Autres sites LEE","Autre_LEE_02","Cu_CaCl2",2014-04-28 12:00:00,0.13,"Extraction CaCl2 + ICP-OES"
"5",2607,"Autres sites LEE","Autre_LEE_02","Cr_CaCl2",2014-04-28 12:00:00,0.31,"Extraction CaCl2 + ICP-MS"
"6",2608,"Autres sites LEE","Autre_LEE_02","Co_CaCl2",2014-04-28 12:00:00,0.01,"Extraction CaCl2 + ICP-OES"
"7",2609,"Autres sites LEE","Autre_LEE_02","Cd_CaCl2",2014-04-28 12:00:00,1.3,"Extraction CaCl2 + ICP-MS"
"8",2611,"Autres sites LEE","Autre_LEE_02","As_CaCl2",2014-04-28 12:00:00,1.96,"Extraction CaCl2 + ICP-MS"
"9",2613,"Autres sites LEE","Autre_LEE_02","Zn_CaCl2",2014-04-28 12:00:00,169.2,"Extraction CaCl2 + ICP-MS"
"10",2614,"Autres sites LEE","Autre_LEE_02","V_CaCl2",2014-04-28 12:00:00,0.3,"Extraction CaCl2 + ICP-MS"
"11",2615,"Autres sites LEE","Autre_LEE_02","Sr_CaCl2",2014-04-28 12:00:00,0.17,"Extraction CaCl2 + ICP-OES"
"12",2616,"Autres sites LEE","Autre_LEE_02","Pb_CaCl2",2014-04-28 12:00:00,0.17,"Extraction CaCl2 + ICP-MS"
"13",2617,"Autres sites LEE","Autre_LEE_02","Ni_CaCl2",2014-04-28 12:00:00,14.34,"Extraction CaCl2 + ICP-MS"
"14",2623,"Autres sites LEE","Autre_LEE_02","Cu_CaCl2",2014-04-28 12:00:00,0.16,"Extraction CaCl2 + ICP-OES"
"15",2624,"Autres sites LEE","Autre_LEE_02","Cr_CaCl2",2014-04-28 12:00:00,0.32,"Extraction CaCl2 + ICP-MS"
"16",2625,"Autres sites LEE","Autre_LEE_02","Co_CaCl2",2014-04-28 12:00:00,0,"Extraction CaCl2 + ICP-OES"
"17",2626,"Autres sites LEE","Autre_LEE_02","Cd_CaCl2",2014-04-28 12:00:00,1.35,"Extraction CaCl2 + ICP-MS"
"18",2627,"Autres sites LEE","Autre_LEE_02","As_CaCl2",2014-04-28 12:00:00,2.06,"Extraction CaCl2 + ICP-MS"
"19",2628,"Autres sites LEE","Autre_LEE_02","Zn_CaCl2",2014-04-28 12:00:00,135.1,"Extraction CaCl2 + ICP-MS"
"20",2629,"Autres sites LEE","Autre_LEE_02","V_CaCl2",2014-04-28 12:00:00,0.25,"Extraction CaCl2 + ICP-MS"
"21",2630,"Autres sites LEE","Autre_LEE_02","Sr_CaCl2",2014-04-28 12:00:00,0.13,"Extraction CaCl2 + ICP-OES"
"22",2631,"Autres sites LEE","Autre_LEE_02","Pb_CaCl2",2014-04-28 12:00:00,0.18,"Extraction CaCl2 + ICP-MS"
"23",2632,"Autres sites LEE","Autre_LEE_02","Ni_CaCl2",2014-04-28 12:00:00,9.64,"Extraction CaCl2 + ICP-MS"
"24",2637,"Autres sites LEE","Autre_LEE_02","Cu_CaCl2",2014-04-28 12:00:00,0.14,"Extraction CaCl2 + ICP-OES"
"25",2638,"Autres sites LEE","Autre_LEE_02","Cr_CaCl2",2014-04-28 12:00:00,0.41,"Extraction CaCl2 + ICP-MS"
"26",2639,"Autres sites LEE","Autre_LEE_02","Cd_CaCl2",2014-04-28 12:00:00,1,"Extraction CaCl2 + ICP-MS"
"27",2641,"Autres sites LEE","Autre_LEE_02","As_CaCl2",2014-04-28 12:00:00,2.15,"Extraction CaCl2 + ICP-MS"
"28",2643,"Autres sites LEE","Autre_LEE_02","Zn_CaCl2",2014-04-28 12:00:00,127.1,"Extraction CaCl2 + ICP-MS"
"29",2644,"Autres sites LEE","Autre_LEE_02","Pb_CaCl2",2014-04-28 12:00:00,0.16,"Extraction CaCl2 + ICP-MS"
"30",2645,"Autres sites LEE","Autre_LEE_02","Ni_CaCl2",2014-04-28 12:00:00,9.23,"Extraction CaCl2 + ICP-MS"
"31",2650,"Autres sites LEE","Autre_LEE_02","Cu_CaCl2",2014-04-28 12:00:00,0.15,"Extraction CaCl2 + ICP-OES"
"32",2651,"Autres sites LEE","Autre_LEE_02","Cr_CaCl2",2014-04-28 12:00:00,0.33,"Extraction CaCl2 + ICP-MS"
"33",2652,"Autres sites LEE","Autre_LEE_02","Cd_CaCl2",2014-04-28 12:00:00,0.98,"Extraction CaCl2 + ICP-MS"
"34",2653,"Autres sites LEE","Autre_LEE_02","As_CaCl2",2014-04-28 12:00:00,2.07,"Extraction CaCl2 + ICP-MS"
"35",2654,"Autres sites LEE","Autre_LEE_02","Zn_CaCl2",2014-04-28 12:00:00,173.6,"Extraction CaCl2 + ICP-MS"
"36",2655,"Autres sites LEE","Autre_LEE_02","V_CaCl2",2014-04-28 12:00:00,0.28,"Extraction CaCl2 + ICP-MS"
"37",2656,"Autres sites LEE","Autre_LEE_02","V_CaCl2",2014-04-28 12:00:00,0.34,"Extraction CaCl2 + ICP-MS"
"38",2657,"Autres sites LEE","Autre_LEE_02","Sr_CaCl2",2014-04-28 12:00:00,0.02,"Extraction CaCl2 + ICP-OES"
"39",2658,"Autres sites LEE","Autre_LEE_02","Pb_CaCl2",2014-04-28 12:00:00,0.15,"Extraction CaCl2 + ICP-MS"
"40",2659,"Autres sites LEE","Autre_LEE_02","Ni_CaCl2",2014-04-28 12:00:00,20.92,"Extraction CaCl2 + ICP-MS"
"41",2665,"Autres sites LEE","Autre_LEE_02","Cu_CaCl2",2014-04-28 12:00:00,183.5,"Extraction CaCl2 + ICP-MS"
"42",2667,"Autres sites LEE","Autre_LEE_02","Cd_CaCl2",2014-04-28 12:00:00,1.29,"Extraction CaCl2 + ICP-MS"
"43",2669,"Autres sites LEE","Autre_LEE_02","As_CaCl2",2014-04-28 12:00:00,1.98,"Extraction CaCl2 + ICP-MS"
"44",2671,"Autres sites LEE","Autre_LEE_02","Zn_CaCl2",2014-04-28 12:00:00,162.1,"Extraction CaCl2 + ICP-MS"
"45",2672,"Autres sites LEE","Autre_LEE_02","V_CaCl2",2014-04-28 12:00:00,0.42,"Extraction CaCl2 + ICP-MS"
"46",2673,"Autres sites LEE","Autre_LEE_02","Sr_CaCl2",2014-04-28 12:00:00,0.03,"Extraction CaCl2 + ICP-OES"
"47",2674,"Autres sites LEE","Autre_LEE_02","Ni_CaCl2",2014-04-28 12:00:00,19.31,"Extraction CaCl2 + ICP-MS"
"48",2679,"Autres sites LEE","Autre_LEE_02","Cu_CaCl2",2014-04-28 12:00:00,213.7,"Extraction CaCl2 + ICP-MS"
"49",2680,"Autres sites LEE","Autre_LEE_02","Cd_CaCl2",2014-04-28 12:00:00,1.81,"Extraction CaCl2 + ICP-MS"
"50",2682,"Autres sites LEE","Autre_LEE_02","As_CaCl2",2014-04-28 12:00:00,2.16,"Extraction CaCl2 + ICP-MS"
"51",2683,"Autres sites LEE","Autre_LEE_02","Zn_CaCl2",2014-04-28 12:00:00,184.6,"Extraction CaCl2 + ICP-MS"
"52",2684,"Autres sites LEE","Autre_LEE_02","V_CaCl2",2014-04-28 12:00:00,0.4,"Extraction CaCl2 + ICP-MS"
"53",2685,"Autres sites LEE","Autre_LEE_02","Ni_CaCl2",2014-04-28 12:00:00,19.8,"Extraction CaCl2 + ICP-MS"
"54",2690,"Autres sites LEE","Autre_LEE_02","Cu_CaCl2",2014-04-28 12:00:00,261.9,"Extraction CaCl2 + ICP-MS"
"55",2691,"Autres sites LEE","Autre_LEE_02","Cr_CaCl2",2014-04-28 12:00:00,0.45,"Extraction CaCl2 + ICP-MS"
"56",2692,"Autres sites LEE","Autre_LEE_02","Cd_CaCl2",2014-04-28 12:00:00,1.89,"Extraction CaCl2 + ICP-MS"
"57",2695,"Autres sites LEE","Autre_LEE_02","Zn_CaCl2",2014-04-28 12:00:00,290.7,"Extraction CaCl2 + ICP-MS"
"58",2696,"Autres sites LEE","Autre_LEE_02","V_CaCl2",2014-04-28 12:00:00,0.23,"Extraction CaCl2 + ICP-MS"
"59",2697,"Autres sites LEE","Autre_LEE_02","Ni_CaCl2",2014-04-28 12:00:00,23.25,"Extraction CaCl2 + ICP-MS"
"60",2702,"Autres sites LEE","Autre_LEE_02","Cu_CaCl2",2014-04-28 12:00:00,190.4,"Extraction CaCl2 + ICP-MS"
"61",2703,"Autres sites LEE","Autre_LEE_02","Cr_CaCl2",2014-04-28 12:00:00,0.27,"Extraction CaCl2 + ICP-MS"
"62",2704,"Autres sites LEE","Autre_LEE_02","Cd_CaCl2",2014-04-28 12:00:00,1.48,"Extraction CaCl2 + ICP-MS"
"63",2705,"Autres sites LEE","Autre_LEE_02","As_CaCl2",2014-04-28 12:00:00,1.86,"Extraction CaCl2 + ICP-MS"
"64",2706,"Autres sites LEE","Autre_LEE_02","Zn_CaCl2",2014-04-28 12:00:00,263.3,"Extraction CaCl2 + ICP-MS"
"65",2707,"Autres sites LEE","Autre_LEE_02","V_CaCl2",2014-04-28 12:00:00,0.22,"Extraction CaCl2 + ICP-MS"
"66",2708,"Autres sites LEE","Autre_LEE_02","Pb_CaCl2",2014-04-28 12:00:00,0.14,"Extraction CaCl2 + ICP-MS"
"67",2709,"Autres sites LEE","Autre_LEE_02","Ni_CaCl2",2014-04-28 12:00:00,14.53,"Extraction CaCl2 + ICP-MS"
"68",2714,"Autres sites LEE","Autre_LEE_02","Cd_CaCl2",2014-04-28 12:00:00,1.42,"Extraction CaCl2 + ICP-MS"
"69",2716,"Autres sites LEE","Autre_LEE_02","As_CaCl2",2014-04-28 12:00:00,2.19,"Extraction CaCl2 + ICP-MS"
"70",2717,"Autres sites LEE","Autre_LEE_02","Zn_CaCl2",2014-04-28 12:00:00,116.7,"Extraction CaCl2 + ICP-MS"
"71",2718,"Autres sites LEE","Autre_LEE_02","Sr_CaCl2",2014-04-28 12:00:00,0.14,"Extraction CaCl2 + ICP-OES"
"72",2720,"Autres sites LEE","Autre_LEE_02","Ni_CaCl2",2014-04-28 12:00:00,13.64,"Extraction CaCl2 + ICP-MS"
"73",2725,"Autres sites LEE","Autre_LEE_02","Cu_CaCl2",2014-04-28 12:00:00,0.23,"Extraction CaCl2 + ICP-OES"
"74",2726,"Autres sites LEE","Autre_LEE_02","Cr_CaCl2",2014-04-28 12:00:00,0.39,"Extraction CaCl2 + ICP-MS"
"75",2727,"Autres sites LEE","Autre_LEE_02","Cd_CaCl2",2014-04-28 12:00:00,1.66,"Extraction CaCl2 + ICP-MS"
"76",2729,"Autres sites LEE","Autre_LEE_02","As_CaCl2",2014-04-28 12:00:00,2.48,"Extraction CaCl2 + ICP-MS"
"77",2730,"Autres sites LEE","Autre_LEE_02","Zn_CaCl2",2014-04-28 12:00:00,219.1,"Extraction CaCl2 + ICP-MS"
"78",2731,"Autres sites LEE","Autre_LEE_02","V_CaCl2",2014-04-28 12:00:00,0.73,"Extraction CaCl2 + ICP-MS"
"79",2732,"Autres sites LEE","Autre_LEE_02","Sr_CaCl2",2014-04-28 12:00:00,0.41,"Extraction CaCl2 + ICP-OES"
"80",2734,"Autres sites LEE","Autre_LEE_02","Ni_CaCl2",2014-04-28 12:00:00,34.26,"Extraction CaCl2 + ICP-MS"
"81",2739,"Autres sites LEE","Autre_LEE_02","Cu_CaCl2",2014-04-28 12:00:00,0.28,"Extraction CaCl2 + ICP-OES"
"82",2740,"Autres sites LEE","Autre_LEE_02","Cr_CaCl2",2014-04-28 12:00:00,0.84,"Extraction CaCl2 + ICP-MS"
"83",2741,"Autres sites LEE","Autre_LEE_02","Cd_CaCl2",2014-04-28 12:00:00,3.51,"Extraction CaCl2 + ICP-MS"
"84",2743,"Autres sites LEE","Autre_LEE_02","As_CaCl2",2014-04-28 12:00:00,2.95,"Extraction CaCl2 + ICP-MS"
"85",2745,"Autres sites LEE","Autre_LEE_02","Zn_CaCl2",2014-04-28 12:00:00,200.6,"Extraction CaCl2 + ICP-MS"
"86",2746,"Autres sites LEE","Autre_LEE_02","V_CaCl2",2014-04-28 12:00:00,0.8,"Extraction CaCl2 + ICP-MS"
"87",2747,"Autres sites LEE","Autre_LEE_02","Sr_CaCl2",2014-04-28 12:00:00,0.25,"Extraction CaCl2 + ICP-OES"
"88",2748,"Autres sites LEE","Autre_LEE_02","Pb_CaCl2",2014-04-28 12:00:00,0.11,"Extraction CaCl2 + ICP-MS"
"89",2750,"Autres sites LEE","Autre_LEE_02","Ni_CaCl2",2014-04-28 12:00:00,30.29,"Extraction CaCl2 + ICP-MS"
