"","X","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"1",2556,"BV Chézine","CHEZ_0010","Zn_sol",2016-01-21 14:45:00,54.42,"Fluorescence X in situ"
"2",2557,"BV Chézine","CHEZ_0010","V_sol",2016-01-21 14:45:00,73.06,"Fluorescence X in situ"
"3",2558,"BV Chézine","CHEZ_0010","Ti_sol",2016-01-21 14:45:00,4877.4,"Fluorescence X in situ"
"4",2559,"BV Chézine","CHEZ_0010","Sr_sol",2016-01-21 14:45:00,38.31,"Fluorescence X in situ"
"5",2560,"BV Chézine","CHEZ_0010","Pb_sol",2016-01-21 14:45:00,16.23,"Fluorescence X in situ"
"6",2566,"BV Chézine","CHEZ_0010","Cu_sol",2016-01-21 14:45:00,29.56,"Fluorescence X in situ"
"7",2571,"BV Chézine","CHEZ_0010","As_sol",2016-01-21 14:45:00,26.09,"Fluorescence X in situ"
"8",2573,"BV Chézine","CHEZ_0010","As_sol",2016-01-21 14:35:00,38.67,"Fluorescence X in situ"
"9",2576,"BV Chézine","CHEZ_0010","Co_sol",2016-01-21 14:35:00,219.18,"Fluorescence X in situ"
"10",2577,"BV Chézine","CHEZ_0010","Cr_sol",2016-01-21 14:35:00,44.39,"Fluorescence X in situ"
"11",2578,"BV Chézine","CHEZ_0010","Cu_sol",2016-01-21 14:35:00,18.37,"Fluorescence X in situ"
"12",2585,"BV Chézine","CHEZ_0010","Pb_sol",2016-01-21 14:35:00,23.46,"Fluorescence X in situ"
"13",2586,"BV Chézine","CHEZ_0010","Sr_sol",2016-01-21 14:35:00,82.17,"Fluorescence X in situ"
"14",2587,"BV Chézine","CHEZ_0010","Ti_sol",2016-01-21 14:35:00,2961.33,"Fluorescence X in situ"
"15",2588,"BV Chézine","CHEZ_0010","V_sol",2016-01-21 14:35:00,61.43,"Fluorescence X in situ"
"16",2589,"BV Chézine","CHEZ_0010","Zn_sol",2016-01-21 14:35:00,52.12,"Fluorescence X in situ"
"17",2592,"BV Chézine","CHEZ_0010","Zn_sol",2016-01-21 14:30:00,54.6,"Fluorescence X in situ"
"18",2594,"BV Chézine","CHEZ_0010","Ti_sol",2016-01-21 14:30:00,1860.12,"Fluorescence X in situ"
"19",3603,"BV Chézine","CHEZ_0010","Sr_sol",2016-01-21 14:30:00,20.59,"Fluorescence X in situ"
"20",3616,"BV Chézine","CHEZ_0010","As_sol",2016-01-21 14:30:00,23.84,"Fluorescence X in situ"
"21",3619,"BV Chézine","CHEZ_0010","Zn_sol",2016-01-21 14:40:00,80.37,"Fluorescence X in situ"
"22",3620,"BV Chézine","CHEZ_0010","V_sol",2016-01-21 14:40:00,50.64,"Fluorescence X in situ"
"23",3621,"BV Chézine","CHEZ_0010","Ti_sol",2016-01-21 14:40:00,2369.96,"Fluorescence X in situ"
"24",3622,"BV Chézine","CHEZ_0010","Sr_sol",2016-01-21 14:40:00,45.9,"Fluorescence X in situ"
"25",3623,"BV Chézine","CHEZ_0010","Pb_sol",2016-01-21 14:40:00,18.75,"Fluorescence X in situ"
"26",3630,"BV Chézine","CHEZ_0010","Cu_sol",2016-01-21 14:40:00,27.32,"Fluorescence X in situ"
"27",3632,"BV Chézine","CHEZ_0010","Co_sol",2016-01-21 14:40:00,104.33,"Fluorescence X in situ"
"28",3635,"BV Chézine","CHEZ_0010","As_sol",2016-01-21 14:40:00,27.45,"Fluorescence X in situ"
