"","X","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"1",114,"BV Pin Sec","PIN-SEC_0009","Sr",2014-10-23 12:00:00,0.062,"ICP-OES-1"
"2",116,"BV Pin Sec","PIN-SEC_0009","Ni",2014-10-23 12:00:00,31,"ICP-OES-1"
"3",123,"BV Pin Sec","PIN-SEC_0009","Cu",2014-10-23 12:00:00,0.01,"ICP-OES-1"
"4",124,"BV Pin Sec","PIN-SEC_0009","Co",2014-10-23 12:00:00,0.026,"ICP-OES-1"
"5",129,"BV Pin Sec","PIN-SEC_0009","Zn_f0.45um",2014-10-23 12:00:00,25.2,"ICP-OES-1"
"6",130,"BV Pin Sec","PIN-SEC_0009","Sr_f0.45um",2014-10-23 12:00:00,0.062,"ICP-OES-1"
"7",132,"BV Pin Sec","PIN-SEC_0009","Ni_f0.45um",2014-10-23 12:00:00,26.9,"ICP-OES-1"
"8",139,"BV Pin Sec","PIN-SEC_0009","Cu_f0.45um",2014-10-23 12:00:00,4,"ICP-OES-1"
"9",140,"BV Pin Sec","PIN-SEC_0009","Co_f0.45um",2014-10-23 12:00:00,0.021,"ICP-OES-1"
"10",144,"BV Pin Sec","PIN-SEC_0010","Zn",2014-10-21 11:45:00,28.3,"ICP-OES-1"
"11",145,"BV Pin Sec","PIN-SEC_0010","Sr",2014-10-21 11:45:00,0.089,"ICP-OES-1"
"12",147,"BV Pin Sec","PIN-SEC_0010","Ni",2014-10-21 11:45:00,12.5,"ICP-OES-1"
"13",154,"BV Pin Sec","PIN-SEC_0010","Cu",2014-10-21 11:45:00,0.013,"ICP-OES-1"
"14",155,"BV Pin Sec","PIN-SEC_0010","Co",2014-10-21 11:45:00,0.017,"ICP-OES-1"
"15",160,"BV Pin Sec","PIN-SEC_0010","Zn_f0.45um",2014-10-21 11:45:00,10.6,"ICP-OES-1"
"16",161,"BV Pin Sec","PIN-SEC_0010","Sr_f0.45um",2014-10-21 11:45:00,0.085,"ICP-OES-1"
"17",170,"BV Pin Sec","PIN-SEC_0010","Cu_f0.45um",2014-10-21 11:45:00,2.1,"ICP-OES-1"
"18",171,"BV Pin Sec","PIN-SEC_0010","Co_f0.45um",2014-10-21 11:45:00,0.014,"ICP-OES-1"
"19",175,"BV Pin Sec","PIN-SEC_0010","Zn",2014-10-21 11:55:00,20,"ICP-OES-1"
"20",176,"BV Pin Sec","PIN-SEC_0010","Sr",2014-10-21 11:55:00,0.09,"ICP-OES-1"
"21",178,"BV Pin Sec","PIN-SEC_0010","Ni",2014-10-21 11:55:00,12.4,"ICP-OES-1"
"22",185,"BV Pin Sec","PIN-SEC_0010","Cu",2014-10-21 11:55:00,0.009,"ICP-OES-1"
"23",186,"BV Pin Sec","PIN-SEC_0010","Co",2014-10-21 11:55:00,0.018,"ICP-OES-1"
"24",191,"BV Pin Sec","PIN-SEC_0010","Zn_f0.45um",2014-10-21 11:55:00,5.1,"ICP-OES-1"
"25",192,"BV Pin Sec","PIN-SEC_0010","Sr_f0.45um",2014-10-21 11:55:00,0.086,"ICP-OES-1"
"26",194,"BV Pin Sec","PIN-SEC_0010","Ni_f0.45um",2014-10-21 11:55:00,5.1,"ICP-OES-1"
"27",202,"BV Pin Sec","PIN-SEC_0010","Co_f0.45um",2014-10-21 11:55:00,0.013,"ICP-OES-1"
"28",209,"BV Pin Sec","PIN-SEC_0009","Co_f0.45um",2014-10-21 12:00:00,0.044,"ICP-OES-1"
"29",217,"BV Pin Sec","PIN-SEC_0009","Ni_f0.45um",2014-10-21 12:00:00,28.8,"ICP-OES-1"
"30",219,"BV Pin Sec","PIN-SEC_0009","Sr_f0.45um",2014-10-21 12:00:00,0.065,"ICP-OES-1"
"31",220,"BV Pin Sec","PIN-SEC_0009","Zn_f0.45um",2014-10-21 12:00:00,18.3,"ICP-OES-1"
"32",225,"BV Pin Sec","PIN-SEC_0009","Co",2014-10-21 12:00:00,0.069,"ICP-OES-1"
"33",226,"BV Pin Sec","PIN-SEC_0009","Cu",2014-10-21 12:00:00,0.061,"ICP-OES-1"
"34",233,"BV Pin Sec","PIN-SEC_0009","Ni",2014-10-21 12:00:00,68.4,"ICP-OES-1"
"35",235,"BV Pin Sec","PIN-SEC_0009","Sr",2014-10-21 12:00:00,0.075,"ICP-OES-1"
"36",236,"BV Pin Sec","PIN-SEC_0009","Zn",2014-10-21 12:00:00,166.9,"ICP-OES-1"
"37",240,"BV Pin Sec","PIN-SEC_0003","Co_f0.45um",2014-10-21 12:00:00,0.008,"ICP-OES-1"
"38",248,"BV Pin Sec","PIN-SEC_0003","Ni_f0.45um",2014-10-21 12:00:00,17.3,"ICP-OES-1"
"39",250,"BV Pin Sec","PIN-SEC_0003","Sr_f0.45um",2014-10-21 12:00:00,0.09,"ICP-OES-1"
"40",251,"BV Pin Sec","PIN-SEC_0003","Zn_f0.45um",2014-10-21 12:00:00,31.4,"ICP-OES-1"
"41",256,"BV Pin Sec","PIN-SEC_0003","Co",2014-10-21 12:00:00,0.012,"ICP-OES-1"
"42",257,"BV Pin Sec","PIN-SEC_0003","Cu",2014-10-21 12:00:00,0.015,"ICP-OES-1"
"43",264,"BV Pin Sec","PIN-SEC_0003","Ni",2014-10-21 12:00:00,23.3,"ICP-OES-1"
"44",266,"BV Pin Sec","PIN-SEC_0003","Sr",2014-10-21 12:00:00,0.092,"ICP-OES-1"
"45",267,"BV Pin Sec","PIN-SEC_0003","Zn",2014-10-21 12:00:00,58.8,"ICP-OES-1"
"46",271,"BV Pin Sec","PIN-SEC_0003","Co_f0.45um",2014-10-23 12:00:00,0.005,"ICP-OES-1"
"47",272,"BV Pin Sec","PIN-SEC_0003","Cu_f0.45um",2014-10-23 12:00:00,2,"ICP-OES-1"
"48",279,"BV Pin Sec","PIN-SEC_0003","Ni_f0.45um",2014-10-23 12:00:00,17.4,"ICP-OES-1"
"49",281,"BV Pin Sec","PIN-SEC_0003","Sr_f0.45um",2014-10-23 12:00:00,0.087,"ICP-OES-1"
"50",282,"BV Pin Sec","PIN-SEC_0003","Zn_f0.45um",2014-10-23 12:00:00,33.1,"ICP-OES-1"
"51",287,"BV Pin Sec","PIN-SEC_0003","Co",2014-10-23 12:00:00,0.005,"ICP-OES-1"
"52",288,"BV Pin Sec","PIN-SEC_0003","Cu",2014-10-23 12:00:00,0.005,"ICP-OES-1"
"53",295,"BV Pin Sec","PIN-SEC_0003","Ni",2014-10-23 12:00:00,16.9,"ICP-OES-1"
"54",297,"BV Pin Sec","PIN-SEC_0003","Sr",2014-10-23 12:00:00,0.087,"ICP-OES-1"
"55",298,"BV Pin Sec","PIN-SEC_0003","Zn",2014-10-23 12:00:00,38.2,"ICP-OES-1"
"56",299,"BV Pin Sec","PIN-SEC_0009","Zn",2014-10-23 12:00:00,34.2,"ICP-OES-1"
"57",332,"BV Pin Sec","PIN-SEC_0003","Co_f0.45um",2014-09-05 12:00:00,0.006,"ICP-OES-1"
"58",333,"BV Pin Sec","PIN-SEC_0003","Cu_f0.45um",2014-09-05 12:00:00,3,"ICP-OES-1"
"59",340,"BV Pin Sec","PIN-SEC_0003","Ni_f0.45um",2014-09-05 12:00:00,16.9,"ICP-OES-1"
"60",342,"BV Pin Sec","PIN-SEC_0003","Sr_f0.45um",2014-09-05 12:00:00,0.086,"ICP-OES-1"
"61",343,"BV Pin Sec","PIN-SEC_0003","Zn_f0.45um",2014-09-05 12:00:00,57.2,"ICP-OES-1"
"62",348,"BV Pin Sec","PIN-SEC_0003","Co",2014-09-05 12:00:00,0.007,"ICP-OES-1"
"63",349,"BV Pin Sec","PIN-SEC_0003","Cu",2014-09-05 12:00:00,0.014,"ICP-OES-1"
"64",356,"BV Pin Sec","PIN-SEC_0003","Ni",2014-09-05 12:00:00,20.8,"ICP-OES-1"
"65",358,"BV Pin Sec","PIN-SEC_0003","Sr",2014-09-05 12:00:00,0.089,"ICP-OES-1"
"66",359,"BV Pin Sec","PIN-SEC_0003","Zn",2014-09-05 12:00:00,68.7,"ICP-OES-1"
"67",364,"BV Pin Sec","PIN-SEC_00","Cu_f0.45um",2014-09-03 12:00:00,6.1,"ICP-OES-1"
"68",373,"BV Pin Sec","PIN-SEC_00","Sr_f0.45um",2014-09-03 12:00:00,0.14,"ICP-OES-1"
"69",374,"BV Pin Sec","PIN-SEC_00","Zn_f0.45um",2014-09-03 12:00:00,15.5,"ICP-OES-1"
"70",380,"BV Pin Sec","PIN-SEC_00","Cu",2014-09-03 12:00:00,0.021,"ICP-OES-1"
"71",389,"BV Pin Sec","PIN-SEC_00","Sr",2014-09-03 12:00:00,0.141,"ICP-OES-1"
"72",390,"BV Pin Sec","PIN-SEC_00","Zn",2014-09-03 12:00:00,71.1,"ICP-OES-1"
"73",395,"BV Pin Sec","PIN-SEC_0046","Cu_f0.45um",2014-09-03 12:00:00,21.7,"ICP-OES-1"
"74",404,"BV Pin Sec","PIN-SEC_0046","Sr_f0.45um",2014-09-03 12:00:00,0.144,"ICP-OES-1"
"75",405,"BV Pin Sec","PIN-SEC_0046","Zn_f0.45um",2014-09-03 12:00:00,47.7,"ICP-OES-1"
"76",411,"BV Pin Sec","PIN-SEC_0046","Cu",2014-09-03 12:00:00,0.074,"ICP-OES-1"
"77",420,"BV Pin Sec","PIN-SEC_0046","Sr",2014-09-03 12:00:00,0.161,"ICP-OES-1"
"78",421,"BV Pin Sec","PIN-SEC_0046","Zn",2014-09-03 12:00:00,141.6,"ICP-OES-1"
"79",426,"BV Pin Sec","PIN-SEC_0049","Cu_f0.45um",2014-09-03 12:00:00,9.1,"ICP-OES-1"
"80",435,"BV Pin Sec","PIN-SEC_0049","Sr_f0.45um",2014-09-03 12:00:00,0.153,"ICP-OES-1"
"81",436,"BV Pin Sec","PIN-SEC_0049","Zn_f0.45um",2014-09-03 12:00:00,33.9,"ICP-OES-1"
