"","X","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"1",2284,"Écoquartier Bottière-Chesnaie","EcoQUA_005","As_f0.45um",2013-09-18 00:00:00,4.25,"ICP-MS 2008/2016"
"2",2285,"Écoquartier Bottière-Chesnaie","EcoQUA_005","Ni",2013-09-16 00:00:00,14.55,"ICP-MS 2008/2016"
"3",2306,"Écoquartier Bottière-Chesnaie","EcoQUA_005","Cu",2013-09-16 00:00:00,13.51,"ICP-MS 2008/2016"
"4",2307,"Écoquartier Bottière-Chesnaie","EcoQUA_004","Ti_f0.45um",2013-09-18 00:00:00,0.006,"ICP-OES-1"
"5",2309,"Écoquartier Bottière-Chesnaie","EcoQUA_001","Cr",2013-08-26 00:00:00,0.82,"ICP-MS 2008/2016"
"6",2310,"Écoquartier Bottière-Chesnaie","EcoQUA_001","As",2013-08-26 00:00:00,1.08,"ICP-MS 2008/2016"
"7",2311,"Écoquartier Bottière-Chesnaie","EcoQUA_001","As_f0.45um",2013-08-26 00:00:00,1.09,"ICP-MS 2008/2016"
"8",2332,"Écoquartier Bottière-Chesnaie","EcoQUA_004","As",2013-09-18 00:00:00,7.1,"ICP-MS 2008/2016"
"9",2333,"Écoquartier Bottière-Chesnaie","EcoQUA_003","Cr",2013-09-18 00:00:00,0.76,"ICP-MS 2008/2016"
"10",2336,"Écoquartier Bottière-Chesnaie","EcoQUA_006","Pb_f0.45um",2013-09-16 00:00:00,0.33,"ICP-MS 2008/2016"
"11",2351,"Écoquartier Bottière-Chesnaie","EcoQUA_006","Cu",2013-09-16 00:00:00,20.06,"ICP-MS 2008/2016"
"12",2355,"Écoquartier Bottière-Chesnaie","EcoQUA_001","V_f0.45um",2013-09-18 00:00:00,16.79,"ICP-MS 2008/2016"
"13",3527,"Écoquartier Bottière-Chesnaie","EcoQUA_010","Cr_f0.45um",2013-09-16 00:00:00,0.94,"ICP-MS 2008/2016"
"14",3528,"Écoquartier Bottière-Chesnaie","EcoQUA_010","Cu_f0.45um",2013-09-16 00:00:00,19.98,"ICP-MS 2008/2016"
"15",3533,"Écoquartier Bottière-Chesnaie","EcoQUA_010","As",2013-09-16 00:00:00,5.33,"ICP-MS 2008/2016"
"16",3538,"Écoquartier Bottière-Chesnaie","EcoQUA_010","Cr",2013-09-16 00:00:00,1.03,"ICP-MS 2008/2016"
"17",3539,"Écoquartier Bottière-Chesnaie","EcoQUA_010","Cu",2013-09-16 00:00:00,20.06,"ICP-MS 2008/2016"
"18",3551,"Écoquartier Bottière-Chesnaie","EcoQUA_010","Ni_f0.45um",2013-09-16 00:00:00,1.95,"ICP-MS 2008/2016"
"19",3553,"Écoquartier Bottière-Chesnaie","EcoQUA_010","Pb_f0.45um",2013-09-16 00:00:00,0.33,"ICP-MS 2008/2016"
"20",3554,"Écoquartier Bottière-Chesnaie","EcoQUA_010","Sr_f0.45um",2013-09-16 00:00:00,0.095,"ICP-OES-1"
"21",3555,"Écoquartier Bottière-Chesnaie","EcoQUA_010","Ti_f0.45um",2013-09-16 00:00:00,0.002,"ICP-OES-1"
"22",3556,"Écoquartier Bottière-Chesnaie","EcoQUA_010","V_f0.45um",2013-09-16 00:00:00,4.19,"ICP-MS 2008/2016"
"23",3557,"Écoquartier Bottière-Chesnaie","EcoQUA_010","Zn_f0.45um",2013-09-16 00:00:00,55,"ICP-MS 2008/2016"
