"","X","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"1",3730,"Agglomération Nantaise","AN_003","Zn",2015-09-28 11:00:00,7.3,"ICP-OES-1"
"2",3731,"Agglomération Nantaise","AN_003","V",2015-09-28 11:00:00,1.874,"ICP-MS 2008/2016"
"3",3732,"Agglomération Nantaise","AN_003","Ti",2015-09-28 11:00:00,0.005,"ICP-OES-1"
"4",3733,"Agglomération Nantaise","AN_003","Sr",2015-09-28 11:00:00,0.103,"ICP-OES-1"
"5",3734,"Agglomération Nantaise","AN_003","Pb",2015-09-28 11:00:00,0.967,"ICP-MS 2008/2016"
"6",3736,"Agglomération Nantaise","AN_003","Ni",2015-09-28 11:00:00,2.003,"ICP-MS 2008/2016"
"7",3743,"Agglomération Nantaise","AN_003","Cu",2015-09-28 11:00:00,2.74,"ICP-MS 2008/2016"
"8",3744,"Agglomération Nantaise","AN_003","Cr",2015-09-28 11:00:00,0.633,"ICP-MS 2008/2016"
"9",3749,"Agglomération Nantaise","AN_003","As",2015-09-28 11:00:00,57.3,"ICP-1"
"10",3753,"Agglomération Nantaise","AN_003","V_f0.45um",2015-09-28 11:00:00,1.572,"ICP-MS 2008/2016"
"11",3755,"Agglomération Nantaise","AN_003","Sr_f0.45um",2015-09-28 11:00:00,0.103,"ICP-OES-1"
"12",3758,"Agglomération Nantaise","AN_003","Ni_f0.45um",2015-09-28 11:00:00,3.009,"ICP-MS 2008/2016"
"13",3760,"Agglomération Nantaise","AN_003","Mo_f0.45um",2015-09-28 11:00:00,0.002,"ICP-OES-1"
"14",3765,"Agglomération Nantaise","AN_003","Cu_f0.45um",2015-09-28 11:00:00,2.44,"ICP-MS 2008/2016"
"15",3766,"Agglomération Nantaise","AN_003","Cr_f0.45um",2015-09-28 11:00:00,0.233,"ICP-MS 2008/2016"
"16",3771,"Agglomération Nantaise","AN_003","As_f0.45um",2015-09-28 11:00:00,54.2,"ICP-1"
"17",3775,"Agglomération Nantaise","AN_001","V",2015-09-28 09:15:00,0.3,"ICP-MS 2008/2016"
"18",3777,"Agglomération Nantaise","AN_001","Sr",2015-09-28 09:15:00,0.087,"ICP-OES-1"
"19",3778,"Agglomération Nantaise","AN_001","Pb",2015-09-28 09:15:00,0.977,"ICP-MS 2008/2016"
"20",3780,"Agglomération Nantaise","AN_001","Ni",2015-09-28 09:15:00,1.018,"ICP-MS 2008/2016"
"21",3787,"Agglomération Nantaise","AN_001","Cu",2015-09-28 09:15:00,1.392,"ICP-MS 2008/2016"
"22",3788,"Agglomération Nantaise","AN_001","Cr",2015-09-28 09:15:00,0.204,"ICP-MS 2008/2016"
"23",3793,"Agglomération Nantaise","AN_001","As",2015-09-28 09:15:00,2.127,"ICP-1"
"24",3797,"Agglomération Nantaise","AN_001","V_f0.45um",2015-09-28 09:15:00,0.241,"ICP-MS 2008/2016"
"25",3799,"Agglomération Nantaise","AN_001","Sr_f0.45um",2015-09-28 09:15:00,0.086,"ICP-OES-1"
"26",3802,"Agglomération Nantaise","AN_001","Ni_f0.45um",2015-09-28 09:15:00,0.68,"ICP-MS 2008/2016"
"27",3809,"Agglomération Nantaise","AN_001","Cu_f0.45um",2015-09-28 09:15:00,0.455,"ICP-MS 2008/2016"
"28",3817,"Agglomération Nantaise","AN_001","Cu_f0.45um",2015-09-28 08:15:00,0.903,"ICP-MS 2008/2016"
"29",3818,"Agglomération Nantaise","AN_001","Cr_f0.45um",2015-09-28 08:15:00,0.106,"ICP-MS 2008/2016"
"30",3823,"Agglomération Nantaise","AN_001","As_f0.45um",2015-09-28 08:15:00,1.433,"ICP-1"
"31",3826,"Agglomération Nantaise","AN_003","Zn",2015-09-28 11:15:00,16.5,"ICP-OES-1"
"32",3827,"Agglomération Nantaise","AN_003","V",2015-09-28 11:15:00,1.35,"ICP-MS 2008/2016"
