"","X","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"1",2463,"Noue ZAC de la Brosse","NB_03","V_sol",2016-04-27 12:00:00,67.513,"Fluorescence X labo_sol"
"2",2464,"Noue ZAC de la Brosse","NB_03","Ti_sol",2016-04-27 12:00:00,4208.353,"Fluorescence X labo_sol"
"3",2465,"Noue ZAC de la Brosse","NB_03","Sr_sol",2016-04-27 12:00:00,55.84,"Fluorescence X labo_sol"
"4",2466,"Noue ZAC de la Brosse","NB_03","Pb_sol",2016-04-27 12:00:00,50.523,"Fluorescence X labo_sol"
"5",2474,"Noue ZAC de la Brosse","NB_03","Cu_sol",2016-04-27 12:00:00,35.465,"Fluorescence X labo_sol"
"6",2475,"Noue ZAC de la Brosse","NB_03","Cr_sol",2016-04-27 12:00:00,78.41,"Fluorescence X labo_sol"
"7",2480,"Noue ZAC de la Brosse","NB_03","As_sol",2016-04-27 12:00:00,36.21,"Fluorescence X labo_sol"
"8",2482,"Noue ZAC de la Brosse","NB_03","Zn_sol",2016-04-27 12:00:00,288.963,"Fluorescence X labo_sol"
"9",2484,"Noue ZAC de la Brosse","NB_03","Ti_sol",2016-04-27 12:00:00,1870.26,"Fluorescence X labo_sol"
"10",2485,"Noue ZAC de la Brosse","NB_03","Sr_sol",2016-04-27 12:00:00,52.973,"Fluorescence X labo_sol"
"11",2486,"Noue ZAC de la Brosse","NB_03","Pb_sol",2016-04-27 12:00:00,32.027,"Fluorescence X labo_sol"
"12",2487,"Noue ZAC de la Brosse","NB_03","Mo_sol",2016-04-27 12:00:00,12.98,"Fluorescence X labo_sol"
"13",2492,"Noue ZAC de la Brosse","NB_03","Cr_sol",2016-04-27 12:00:00,79.833,"Fluorescence X labo_sol"
"14",2495,"Noue ZAC de la Brosse","NB_03","As_sol",2016-04-27 12:00:00,108.903,"Fluorescence X labo_sol"
"15",16851,"Noue ZAC de la Brosse","NB_03","V_sol",2015-09-29 09:40:00,131.34,"Fluorescence X in situ"
"16",16853,"Noue ZAC de la Brosse","NB_03","Ti_sol",2015-09-29 09:40:00,3557.88,"Fluorescence X in situ"
"17",16855,"Noue ZAC de la Brosse","NB_03","Sr_sol",2015-09-29 09:40:00,69,"Fluorescence X in situ"
"18",16856,"Noue ZAC de la Brosse","NB_03","Cu_sol",2015-09-29 09:40:00,211.3,"Fluorescence X in situ"
"19",16857,"Noue ZAC de la Brosse","NB_03","Pb_sol",2015-09-29 09:40:00,102,"Fluorescence X in situ"
"20",16860,"Noue ZAC de la Brosse","NB_03","Cr_sol",2015-09-29 09:40:00,104.44,"Fluorescence X in situ"
"21",16861,"Noue ZAC de la Brosse","NB_03","Ni_sol",2015-09-29 09:40:00,54.34,"Fluorescence X in situ"
"22",16862,"Noue ZAC de la Brosse","NB_03","As_sol",2015-09-29 09:40:00,191.37,"Fluorescence X in situ"
"23",17346,"Noue ZAC de la Brosse","NB_03","Mo_sol",2015-09-29 09:40:00,8.49,"Fluorescence X in situ"
"24",17352,"Noue ZAC de la Brosse","NB_02","As_sol",2015-09-29 09:30:00,77.45,"Fluorescence X in situ"
"25",17358,"Noue ZAC de la Brosse","NB_02","Cu_sol",2015-09-29 09:30:00,141.62,"Fluorescence X in situ"
"26",17362,"Noue ZAC de la Brosse","NB_02","Mo_sol",2015-09-29 09:30:00,5.96,"Fluorescence X in situ"
"27",17365,"Noue ZAC de la Brosse","NB_02","Pb_sol",2015-09-29 09:30:00,81.86,"Fluorescence X in situ"
"28",17366,"Noue ZAC de la Brosse","NB_02","Sr_sol",2015-09-29 09:30:00,113.06,"Fluorescence X in situ"
"29",17367,"Noue ZAC de la Brosse","NB_02","Ti_sol",2015-09-29 09:30:00,2486.06,"Fluorescence X in situ"
"30",17368,"Noue ZAC de la Brosse","NB_02","V_sol",2015-09-29 09:30:00,47.76,"Fluorescence X in situ"
"31",17369,"Noue ZAC de la Brosse","NB_02","Zn_sol",2015-09-29 09:30:00,487.18,"Fluorescence X in situ"
"32",19280,"Noue ZAC de la Brosse","NB_03","Zn_sol",2015-09-29 09:40:00,1091.5,"Fluorescence X in situ"
"33",19405,"Noue ZAC de la Brosse","NB_01","As_sol",2015-09-29 09:45:00,95.3,"Fluorescence X in situ"
"34",19410,"Noue ZAC de la Brosse","NB_01","Cr_sol",2015-09-29 09:45:00,102.67,"Fluorescence X in situ"
"35",19411,"Noue ZAC de la Brosse","NB_01","Cu_sol",2015-09-29 09:45:00,142.84,"Fluorescence X in situ"
"36",19415,"Noue ZAC de la Brosse","NB_01","Mo_sol",2015-09-29 09:45:00,6.93,"Fluorescence X in situ"
"37",19418,"Noue ZAC de la Brosse","NB_01","Pb_sol",2015-09-29 09:45:00,77.59,"Fluorescence X in situ"
"38",19419,"Noue ZAC de la Brosse","NB_01","Sr_sol",2015-09-29 09:45:00,66.8,"Fluorescence X in situ"
"39",19420,"Noue ZAC de la Brosse","NB_01","Ti_sol",2015-09-29 09:45:00,3699.64,"Fluorescence X in situ"
"40",19421,"Noue ZAC de la Brosse","NB_01","V_sol",2015-09-29 09:45:00,76.28,"Fluorescence X in situ"
"41",19422,"Noue ZAC de la Brosse","NB_01","Zn_sol",2015-09-29 09:45:00,1465.89,"Fluorescence X in situ"
"42",24861,"Noue ZAC de la Brosse","NB_01","As_sol",2015-09-29 09:45:00,103.438,"ICP-OES-2"
"43",24864,"Noue ZAC de la Brosse","NB_01","Cd_sol",2015-09-29 09:45:00,1.359,"ICP-OES-2"
"44",24865,"Noue ZAC de la Brosse","NB_01","Co_sol",2015-09-29 09:45:00,57.208,"ICP-OES-2"
