"","X","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"1",2240,"Prairie de Mauves","PDM_0068","Pb_sol",2010-03-09 00:00:00,60,"ICP-OES-2"
"2",2242,"Prairie de Mauves","PDM_0069","Zn_sol",2010-03-09 00:00:00,267.7,"ICP-OES-2"
"3",2254,"Prairie de Mauves","PDM_0007","Cd_F0.45um",2012-06-28 00:00:00,0.1,"ICP-MS 2008/2016"
"4",2261,"Prairie de Mauves","PDM_0069","Ni_sol",2010-03-09 00:00:00,18.4,"ICP-OES-2"
"5",2268,"Prairie de Mauves","PDM_0069","Ti_sol",2010-03-09 00:00:00,2961,"ICP-OES-2"
"6",2271,"Prairie de Mauves","PDM_0006","V_f8um",2011-09-20 11:25:00,0.48,"ICP-MS 2008/2016"
"7",2273,"Prairie de Mauves","PDM_0006","V_f0.45um",2011-09-20 11:25:00,0.38,"ICP-MS 2008/2016"
"8",2278,"Prairie de Mauves","PDM_0006","Cu_f0.45um",2011-09-20 11:25:00,1.94,"ICP-MS 2008/2016"
"9",2288,"Prairie de Mauves","PDM_0070","Ti_sol",2010-03-09 00:00:00,1957,"ICP-OES-2"
"10",2289,"Prairie de Mauves","PDM_0070","As_sol",2010-03-09 00:00:00,12.1,"ICP-OES-2"
"11",2293,"Prairie de Mauves","PDM_0072","Mo_sol",2011-08-17 00:00:00,0.18,"ICP-OES-2"
"12",2296,"Prairie de Mauves","PDM_0017","Zn_f0.45um",2011-09-20 14:00:00,18.52,"ICP-MS 2008/2016"
"13",2312,"Prairie de Mauves","PDM_0072","V_sol",2011-08-17 00:00:00,74.4,"ICP-OES-2"
"14",2313,"Prairie de Mauves","PDM_0073","Cr_sol",2011-08-18 00:00:00,76.9,"ICP-OES-2"
"15",2319,"Prairie de Mauves","PDM_0074","V_sol",2011-08-18 00:00:00,45.2,"ICP-OES-2"
"16",2320,"Prairie de Mauves","PDM_0020","Sr_f0.45um",2011-09-19 09:00:00,0.362,"ICP-OES-1"
"17",2321,"Prairie de Mauves","PDM_0020","Cd_f0.45um",2011-09-19 09:00:00,0.1,"ICP-MS 2008/2016"
"18",2325,"Prairie de Mauves","PDM_0067","Cu_f0.45um",2011-09-19 10:00:00,0.96,"ICP-MS 2008/2016"
"19",2327,"Prairie de Mauves","PDM_0067","Pb_F0.45um",2011-09-19 10:00:00,0.83,"ICP-MS 2008/2016"
"20",2329,"Prairie de Mauves","PDM_0067","Mo_F8um",2011-09-19 10:00:00,0.002,"ICP-OES-1"
"21",2342,"Prairie de Mauves","PDM_0066","Cu_F8um",2011-09-20 00:00:00,1.66,"ICP-MS 2008/2016"
"22",2346,"Prairie de Mauves","PDM_0066","Mo_F8um",2011-09-20 00:00:00,0.002,"ICP-OES-1"
