"","X","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"1",5882,"Bassin Ville au Blanc","VaB_04","V",2015-09-28 10:30:00,20.714,"ICP-MS 2008/2016"
"2",5883,"Bassin Ville au Blanc","VaB_04","Ti",2015-09-28 10:30:00,0.121,"ICP-OES-1"
"3",5884,"Bassin Ville au Blanc","VaB_04","Sr",2015-09-28 10:30:00,0.09,"ICP-OES-1"
"4",5885,"Bassin Ville au Blanc","VaB_04","Pb",2015-09-28 10:30:00,32.242,"ICP-MS 2008/2016"
"5",5887,"Bassin Ville au Blanc","VaB_04","Ni",2015-09-28 10:30:00,24.317,"ICP-MS 2008/2016"
"6",5890,"Bassin Ville au Blanc","VaB_04","Zn",2015-09-28 10:30:00,178.2,"ICP-OES-1"
"7",5895,"Bassin Ville au Blanc","VaB_04","Cu",2015-09-28 10:30:00,50.622,"ICP-MS 2008/2016"
"8",5896,"Bassin Ville au Blanc","VaB_04","Cr",2015-09-28 10:30:00,22.106,"ICP-MS 2008/2016"
"9",5901,"Bassin Ville au Blanc","VaB_04","As",2015-09-28 10:30:00,216.1,"ICP-1"
"10",5904,"Bassin Ville au Blanc","VaB_04","Zn_f0.45um",2015-09-28 10:30:00,9.4,"ICP-OES-1"
"11",5905,"Bassin Ville au Blanc","VaB_04","V_f0.45um",2015-09-28 10:30:00,0.817,"ICP-MS 2008/2016"
"12",5907,"Bassin Ville au Blanc","VaB_04","Sr_f0.45um",2015-09-28 10:30:00,0.083,"ICP-OES-1"
"13",5908,"Bassin Ville au Blanc","VaB_04","Pb_f0.45um",2015-09-28 10:30:00,0.18,"ICP-MS 2008/2016"
"14",5910,"Bassin Ville au Blanc","VaB_04","Ni_f0.45um",2015-09-28 10:30:00,3.697,"ICP-MS 2008/2016"
"15",5917,"Bassin Ville au Blanc","VaB_04","Cu_f0.45um",2015-09-28 10:30:00,3.094,"ICP-MS 2008/2016"
"16",5918,"Bassin Ville au Blanc","VaB_04","Cr_f0.45um",2015-09-28 10:30:00,0.156,"ICP-MS 2008/2016"
"17",5923,"Bassin Ville au Blanc","VaB_04","As_f0.45um",2015-09-28 10:30:00,34.1,"ICP-1"
"18",5926,"Bassin Ville au Blanc","VaB_03","Zn",2015-09-28 09:45:00,11.4,"ICP-OES-1"
"19",5927,"Bassin Ville au Blanc","VaB_03","V",2015-09-28 09:45:00,0.923,"ICP-MS 2008/2016"
"20",5929,"Bassin Ville au Blanc","VaB_03","Sr",2015-09-28 09:45:00,0.101,"ICP-OES-1"
