"","X","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"1",28123,"Bassin Ville au Blanc","VaB_04","AMPA",2018-01-18 13:30:00,0.17,"LC/fluo"
"2",28162,"Bassin Ville au Blanc","VaB_03","AMPA",2018-01-18 13:05:00,0.1,"LC/fluo"
"3",30017,"Bassin Ville au Blanc","VaB_04","Terbuthylazine hydroxy",2018-01-18 13:30:00,0.01,"LC/MS/MS INOVALYS"
"4",31951,"Bassin Ville au Blanc","VaB_04","Diuron",2018-01-18 13:30:00,0.02,"LC/MS/MS INOVALYS"
"5",36388,"Bassin Ville au Blanc","VaB_04","Terbutryne",2018-03-29 13:50:00,0.01,"LC/MS/MS INOVALYS"
"6",36389,"Bassin Ville au Blanc","VaB_04","Terbuthylazine hydroxy",2018-03-29 13:50:00,0.02,"LC/MS/MS INOVALYS"
"7",36547,"Bassin Ville au Blanc","VaB_03","Diuron",2018-01-18 13:05:00,0.03,"LC/MS/MS INOVALYS"
"8",37019,"Bassin Ville au Blanc","VaB_04","Diuron",2018-03-29 13:50:00,0.03,"LC/MS/MS INOVALYS"
"9",37145,"Bassin Ville au Blanc","VaB_03","Propiconazole",2018-01-18 13:05:00,0.01,"LC/MS/MS INOVALYS"
"10",37180,"Bassin Ville au Blanc","VaB_03","Terbuthylazine hydroxy",2018-01-18 13:05:00,0.01,"LC/MS/MS INOVALYS"
"11",37610,"Bassin Ville au Blanc","VaB_04","Oxadiazon",2018-03-29 13:50:00,0.001,"SBSE/GC/MS/MS INOVALYS"
"12",37620,"Bassin Ville au Blanc","VaB_04","Lambda Cyhalothrine",2018-03-29 13:50:00,0.001,"SBSE/GC/MS/MS INOVALYS"
"13",37711,"Bassin Ville au Blanc","VaB_04","AMPA",2018-03-29 13:50:00,0.1,"LC/MS/MS INOVALYS"
"14",37747,"Bassin Ville au Blanc","VaB_03","Terbutryne",2018-03-28 11:10:00,0.01,"LC/MS/MS INOVALYS"
"15",37748,"Bassin Ville au Blanc","VaB_03","Terbuthylazine hydroxy",2018-03-28 11:10:00,0.01,"LC/MS/MS INOVALYS"
"16",38379,"Bassin Ville au Blanc","VaB_03","Diuron",2018-03-28 11:10:00,0.03,"LC/MS/MS INOVALYS"
"17",38969,"Bassin Ville au Blanc","VaB_03","Oxadiazon",2018-03-28 11:10:00,0.001,"SBSE/GC/MS/MS INOVALYS"
"18",39568,"Bassin Ville au Blanc","VaB_03","AMPA",2018-03-28 11:10:00,0.09,"LC/MS/MS INOVALYS"
"19",40963,"Bassin Ville au Blanc","VaB_04","Diuron solide",2017-05-10 07:30:00,0.239,"LC/MS/MS ICPEES"
"20",40971,"Bassin Ville au Blanc","VaB_04","Propiconazole solide",2017-05-10 07:30:00,0.178,"LC/MS/MS ICPEES"
"21",40997,"Bassin Ville au Blanc","VaB_03","Diuron solide",2017-05-10 07:15:00,1.052,"LC/MS/MS ICPEES"
"22",41005,"Bassin Ville au Blanc","VaB_03","Propiconazole solide",2017-05-10 07:15:00,0.165,"LC/MS/MS ICPEES"
"23",41031,"Bassin Ville au Blanc","VaB_05","Diuron solide",2017-05-10 08:25:00,0.238,"LC/MS/MS ICPEES"
"24",41548,"Bassin Ville au Blanc","VaB_05","Propiconazole solide",2017-05-10 08:25:00,0.139,"LC/MS/MS ICPEES"
"25",41668,"Bassin Ville au Blanc","VaB_04","AMPA",2017-05-10 07:30:00,6.8,"LC/MS/MS ICPEES"
"26",41670,"Bassin Ville au Blanc","VaB_04","Glyphosate",2017-05-10 07:30:00,0.1,"LC/MS/MS ICPEES"
"27",41671,"Bassin Ville au Blanc","VaB_03","AMPA",2017-05-10 07:15:00,7.5,"LC/MS/MS ICPEES"
"28",41673,"Bassin Ville au Blanc","VaB_03","Glyphosate",2017-05-10 07:15:00,0.1,"LC/MS/MS ICPEES"
