"","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"2257","Écoquartier Bottière-Chesnaie","Toit école / EcoQUA_001","Fe",2013-09-16 00:00:00,0.282,"ICP-OES-1"
"2258","Écoquartier Bottière-Chesnaie","Toit école / EcoQUA_001","GLUFO",2013-09-09 00:00:00,0.1,"LC/fluo"
"2259","Écoquartier Bottière-Chesnaie","Toiture Nantes Habitat / EcoQUA_005","Ba",2013-09-18 00:00:00,0.008,"ICP-OES-1"
"2260","Écoquartier Bottière-Chesnaie","Ruisseau Amont / EcoQUA_002","Ba_f0.45um",2013-09-18 00:00:00,0.023,"ICP-OES-1"
"2281","Écoquartier Bottière-Chesnaie","Canal / EcoQUA_004","Al_f0.45um",2013-09-09 00:00:00,NA,"ICP-OES-1"
"2282","Écoquartier Bottière-Chesnaie","Toiture Nantes Habitat / EcoQUA_005","Ca_f0.45um",2013-09-18 00:00:00,21.435,"ICP-OES-1"
"2283","Écoquartier Bottière-Chesnaie","Ruisseau Amont / EcoQUA_002","K",2013-09-09 00:00:00,5.913,"ICP-OES-1"
"2284","Écoquartier Bottière-Chesnaie","Toiture Nantes Habitat / EcoQUA_005","As_f0.45um",2013-09-18 00:00:00,4.25,"ICP-MS 2008/2016"
"2285","Écoquartier Bottière-Chesnaie","Toiture Nantes Habitat / EcoQUA_005","Ni",2013-09-16 00:00:00,14.55,"ICP-MS 2008/2016"
"2286","Écoquartier Bottière-Chesnaie","Toiture Nantes Habitat / EcoQUA_005","Na_f0.45um",2013-09-16 00:00:00,5.086,"ICP-OES-1"
"2306","Écoquartier Bottière-Chesnaie","Toiture Nantes Habitat / EcoQUA_005","Cu",2013-09-16 00:00:00,13.51,"ICP-MS 2008/2016"
"2307","Écoquartier Bottière-Chesnaie","Canal / EcoQUA_004","Ti_f0.45um",2013-09-18 00:00:00,0.006,"ICP-OES-1"
"2308","Écoquartier Bottière-Chesnaie","Toiture Nantes Habitat / EcoQUA_005","K_f0.45um",2013-09-16 00:00:00,3.937,"ICP-OES-1"
"2309","Écoquartier Bottière-Chesnaie","Toit école / EcoQUA_001","Cr",2013-08-26 00:00:00,0.82,"ICP-MS 2008/2016"
"2310","Écoquartier Bottière-Chesnaie","Toit école / EcoQUA_001","As",2013-08-26 00:00:00,1.08,"ICP-MS 2008/2016"
"2311","Écoquartier Bottière-Chesnaie","Toit école / EcoQUA_001","As_f0.45um",2013-08-26 00:00:00,1.09,"ICP-MS 2008/2016"
"2332","Écoquartier Bottière-Chesnaie","Canal / EcoQUA_004","As",2013-09-18 00:00:00,7.1,"ICP-MS 2008/2016"
"2333","Écoquartier Bottière-Chesnaie","Ruisseau Aval / EcoQUA_003","Cr",2013-09-18 00:00:00,0.76,"ICP-MS 2008/2016"
"2334","Écoquartier Bottière-Chesnaie","Ruisseau Aval / EcoQUA_003","Carbone organique dissous",2013-09-18 00:00:00,6.7,"Oxydation par persulfate en milieu acide"
"2335","Écoquartier Bottière-Chesnaie","Noue après déversoir / EcoQUA_006","Mo",2013-09-16 00:00:00,NA,"ICP-OES-1"
"2336","Écoquartier Bottière-Chesnaie","Noue après déversoir / EcoQUA_006","Pb_f0.45um",2013-09-16 00:00:00,0.33,"ICP-MS 2008/2016"
"2337","Écoquartier Bottière-Chesnaie","Ruisseau Aval / EcoQUA_003","P_f0.45um",2013-09-09 00:00:00,NA,"ICP-OES-1"
"2338","Écoquartier Bottière-Chesnaie","Toiture Nantes Habitat / EcoQUA_005","MES",2013-09-18 00:00:00,0.9,"Filtration sur filtre en fibres de verre"
"2351","Écoquartier Bottière-Chesnaie","Noue après déversoir / EcoQUA_006","Cu",2013-09-16 00:00:00,20.06,"ICP-MS 2008/2016"
"2352","Écoquartier Bottière-Chesnaie","Noue après déversoir / EcoQUA_006","Cd_f0.45um",2013-09-16 00:00:00,NA,"ICP-MS 2008/2016"
"2353","Écoquartier Bottière-Chesnaie","Ruisseau Amont / EcoQUA_002","Na_f0.45um",2013-09-18 00:00:00,20.508,"ICP-OES-1"
"2354","Écoquartier Bottière-Chesnaie","Toit école / EcoQUA_001","Mg_f0.45um",2013-09-18 00:00:00,1.943,"ICP-OES-1"
"2355","Écoquartier Bottière-Chesnaie","Toit école / EcoQUA_001","V_f0.45um",2013-09-18 00:00:00,16.79,"ICP-MS 2008/2016"
"3523","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Ba_f0.45um",2013-09-16 00:00:00,0.018,"ICP-OES-1"
"3524","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Ca_f0.45um",2013-09-16 00:00:00,32.704,"ICP-OES-1"
"3525","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Cd_f0.45um",2013-09-16 00:00:00,NA,"ICP-MS 2008/2016"
"3526","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Co_f0.45um",2013-09-16 00:00:00,NA,"ICP-OES-1"
"3527","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Cr_f0.45um",2013-09-16 00:00:00,0.94,"ICP-MS 2008/2016"
"3528","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Cu_f0.45um",2013-09-16 00:00:00,19.98,"ICP-MS 2008/2016"
"3529","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Fe_f0.45um",2013-09-16 00:00:00,0.019,"ICP-OES-1"
"3530","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","K_f0.45um",2013-09-16 00:00:00,12.758,"ICP-OES-1"
"3531","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Mg_f0.45um",2013-09-16 00:00:00,3.754,"ICP-OES-1"
"3532","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Al",2013-09-16 00:00:00,NA,"ICP-OES-1"
"3533","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","As",2013-09-16 00:00:00,5.33,"ICP-MS 2008/2016"
"3534","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Ba",2013-09-16 00:00:00,0.021,"ICP-OES-1"
