"","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"2463","Noue ZAC de la Brosse","Noue Brosse milieu / NB_03","V_sol",2016-04-27 12:00:00,67.513,"Fluorescence X labo_sol"
"2464","Noue ZAC de la Brosse","Noue Brosse milieu / NB_03","Ti_sol",2016-04-27 12:00:00,4208.353,"Fluorescence X labo_sol"
"2465","Noue ZAC de la Brosse","Noue Brosse milieu / NB_03","Sr_sol",2016-04-27 12:00:00,55.84,"Fluorescence X labo_sol"
"2466","Noue ZAC de la Brosse","Noue Brosse milieu / NB_03","Pb_sol",2016-04-27 12:00:00,50.523,"Fluorescence X labo_sol"
"2467","Noue ZAC de la Brosse","Noue Brosse milieu / NB_03","P_sol",2016-04-27 12:00:00,NA,"Fluorescence X labo_sol"
"2468","Noue ZAC de la Brosse","Noue Brosse milieu / NB_03","Ni_sol",2016-04-27 12:00:00,NA,"Fluorescence X labo_sol"
"2469","Noue ZAC de la Brosse","Noue Brosse milieu / NB_03","Mo_sol",2016-04-27 12:00:00,NA,"Fluorescence X labo_sol"
"2470","Noue ZAC de la Brosse","Noue Brosse milieu / NB_03","Mn_sol",2016-04-27 12:00:00,120.943,"Fluorescence X labo_sol"
"2471","Noue ZAC de la Brosse","Noue Brosse milieu / NB_03","Mg_sol",2016-04-27 12:00:00,NA,"Fluorescence X labo_sol"
"2472","Noue ZAC de la Brosse","Noue Brosse milieu / NB_03","K_sol",2016-04-27 12:00:00,21115.573,"Fluorescence X labo_sol"
"2473","Noue ZAC de la Brosse","Noue Brosse milieu / NB_03","Fe_sol",2016-04-27 12:00:00,25354.647,"Fluorescence X labo_sol"
"2474","Noue ZAC de la Brosse","Noue Brosse milieu / NB_03","Cu_sol",2016-04-27 12:00:00,35.465,"Fluorescence X labo_sol"
"2475","Noue ZAC de la Brosse","Noue Brosse milieu / NB_03","Cr_sol",2016-04-27 12:00:00,78.41,"Fluorescence X labo_sol"
"2476","Noue ZAC de la Brosse","Noue Brosse milieu / NB_03","Co_sol",2016-04-27 12:00:00,NA,"Fluorescence X labo_sol"
"2477","Noue ZAC de la Brosse","Noue Brosse milieu / NB_03","Cd_sol",2016-04-27 12:00:00,NA,"Fluorescence X labo_sol"
"2478","Noue ZAC de la Brosse","Noue Brosse milieu / NB_03","Ca_sol",2016-04-27 12:00:00,1392.643,"Fluorescence X labo_sol"
"2479","Noue ZAC de la Brosse","Noue Brosse milieu / NB_03","Ba_sol",2016-04-27 12:00:00,541.513,"Fluorescence X labo_sol"
"2480","Noue ZAC de la Brosse","Noue Brosse milieu / NB_03","As_sol",2016-04-27 12:00:00,36.21,"Fluorescence X labo_sol"
"2481","Noue ZAC de la Brosse","Noue Brosse milieu / NB_03","MS",2016-04-27 12:00:00,81.009,"Étuvage non ventilé à 105°C + Gravimétrie"
"2482","Noue ZAC de la Brosse","Noue Brosse milieu / NB_03","Zn_sol",2016-04-27 12:00:00,288.963,"Fluorescence X labo_sol"
