"","X","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"1",18456,"Écoquartier Bottière-Chesnaie","EcoQUA_001","AMPA",2013-09-09 00:00:00,0.1,"LC/fluo"
"2",18983,"Écoquartier Bottière-Chesnaie","EcoQUA_004","AMPA",2013-09-09 00:00:00,0.1,"LC/fluo"
"3",19039,"Écoquartier Bottière-Chesnaie","EcoQUA_002","AMPA",2013-09-09 00:00:00,0.48,"LC/fluo"
"4",19093,"Écoquartier Bottière-Chesnaie","EcoQUA_005","AMPA",2013-09-16 00:00:00,0.1,"LC/fluo"
"5",19685,"Écoquartier Bottière-Chesnaie","EcoQUA_001","AMPA",2013-08-26 00:00:00,0.1,"LC/fluo"
"6",20359,"Écoquartier Bottière-Chesnaie","EcoQUA_003","AMPA",2013-09-09 00:00:00,0.41,"LC/fluo"
"7",21015,"Écoquartier Bottière-Chesnaie","EcoQUA_001","AMPA",2013-09-16 00:00:00,0.1,"LC/fluo"
"8",27157,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Terbutryne",2017-12-07 12:00:00,0.01,"LC/MS/MS INOVALYS"
"9",27158,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Terbuthylazine hydroxy",2017-12-07 12:00:00,0.13,"LC/MS/MS INOVALYS"
"10",27190,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Prosulfocarbe",2017-12-07 12:00:00,0.04,"LC/MS/MS INOVALYS"
"11",27193,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Propiconazole",2017-12-07 12:00:00,0.02,"LC/MS/MS INOVALYS"
"12",27408,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Dieldrine",2017-12-07 12:00:00,0.002,"SBSE/GC/MS/MS INOVALYS"
"13",28007,"Écoquartier Bottière-Chesnaie","EcoQUA_010","Terbutryne",2018-01-31 13:45:00,0.02,"LC/MS/MS INOVALYS"
"14",28008,"Écoquartier Bottière-Chesnaie","EcoQUA_010","Terbuthylazine hydroxy",2018-01-31 13:45:00,0.13,"LC/MS/MS INOVALYS"
"15",28123,"Bassin Ville au Blanc","VaB_04","AMPA",2018-01-18 13:30:00,0.17,"LC/fluo"
"16",28162,"Bassin Ville au Blanc","VaB_03","AMPA",2018-01-18 13:05:00,0.1,"LC/fluo"
"17",28978,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Terbutryne",2018-01-18 12:00:00,0.03,"LC/MS/MS INOVALYS"
"18",28979,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Terbuthylazine hydroxy",2018-01-18 12:00:00,0.13,"LC/MS/MS INOVALYS"
"19",28993,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Simazine hydroxy",2018-01-18 12:00:00,0.01,"LC/MS/MS INOVALYS"
"20",29014,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Propiconazole",2018-01-18 12:00:00,0.02,"LC/MS/MS INOVALYS"
"21",29463,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Diuron",2018-01-18 12:00:00,0.01,"LC/MS/MS INOVALYS"
