"","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"1","BV Pin Sec","Debitmetre Pin-Sec_EP / PIN-SEC_0036","DCO sur échantillon homogène",2015-01-15 12:15:00,101,"Spectrophotométrie (DCO)"
"2","BV Pin Sec","Debitmetre Pin-Sec_EP / PIN-SEC_0036","pH_insitu",2015-01-15 12:15:00,6.98,"Potentiométrie (pH)"
"3","BV Pin Sec","Debitmetre Pin-Sec_EP / PIN-SEC_0036","EC_25C_insitu",2015-01-15 12:15:00,35,"Electrométrie (conductivité)"
"4","BV Pin Sec","Debitmetre Pin-Sec_EP / PIN-SEC_0036","EC_25C_insitu",2015-01-15 12:45:00,122,"Electrométrie (conductivité)"
"5","BV Pin Sec","Debitmetre Pin-Sec_EP / PIN-SEC_0036","pH_insitu",2015-01-15 12:45:00,6.75,"Potentiométrie (pH)"
"6","BV Pin Sec","Debitmetre Pin-Sec_EP / PIN-SEC_0036","DCO sur échantillon homogène",2015-01-15 12:45:00,18.9,"Spectrophotométrie (DCO)"
"7","BV Pin Sec","Debitmetre Pin-Sec_EP / PIN-SEC_0036","MES",2015-01-15 12:45:00,45,"ICP-OES-1"
"8","BV Pin Sec","Debitmetre Pin-Sec_EP / PIN-SEC_0036","F",2015-01-15 12:45:00,0.067,"Chromatographie ionique"
"9","BV Pin Sec","Debitmetre Pin-Sec_EP / PIN-SEC_0036","Chlorures",2015-01-15 12:45:00,6.938,"Chromatographie ionique"
"10","BV Pin Sec","Debitmetre Pin-Sec_EP / PIN-SEC_0036","Br",2015-01-15 12:45:00,NA,"Chromatographie ionique"
"11","BV Pin Sec","Debitmetre Pin-Sec_EP / PIN-SEC_0036","Br",2015-01-15 13:15:00,NA,"Chromatographie ionique"
"12","BV Pin Sec","Debitmetre Pin-Sec_EP / PIN-SEC_0036","Chlorures",2015-01-15 13:15:00,10.3,"Chromatographie ionique"
"13","BV Pin Sec","Debitmetre Pin-Sec_EP / PIN-SEC_0036","F",2015-01-15 13:15:00,0.113,"Chromatographie ionique"
"14","BV Pin Sec","Debitmetre Pin-Sec_EP / PIN-SEC_0036","MES",2015-01-15 13:15:00,17,"ICP-OES-1"
"15","BV Pin Sec","Debitmetre Pin-Sec_EP / PIN-SEC_0036","DCO sur échantillon homogène",2015-01-15 13:15:00,12.4,"Spectrophotométrie (DCO)"
"16","BV Pin Sec","Debitmetre Pin-Sec_EP / PIN-SEC_0036","pH_insitu",2015-01-15 13:15:00,6.82,"Potentiométrie (pH)"
"17","BV Pin Sec","Debitmetre Pin-Sec_EP / PIN-SEC_0036","EC_25C_insitu",2015-01-15 13:15:00,204,"Electrométrie (conductivité)"
"18","BV Pin Sec","Debitmetre Pin-Sec_EP / PIN-SEC_0036","EC_25C_insitu",2015-01-15 13:45:00,196,"Electrométrie (conductivité)"
"19","BV Pin Sec","Debitmetre Pin-Sec_EP / PIN-SEC_0036","pH_insitu",2015-01-15 13:45:00,6.87,"Potentiométrie (pH)"
"20","BV Pin Sec","Debitmetre Pin-Sec_EP / PIN-SEC_0036","DCO sur échantillon homogène",2015-01-15 13:45:00,9.53,"Spectrophotométrie (DCO)"
"21","BV Pin Sec","Debitmetre Pin-Sec_EP / PIN-SEC_0036","MES",2015-01-15 13:45:00,8.5,"ICP-OES-1"
"22","BV Pin Sec","Debitmetre Pin-Sec_EP / PIN-SEC_0036","F",2015-01-15 13:45:00,0.102,"Chromatographie ionique"
