"","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"2240","Prairie de Mauves","C1 / PDM_0068","Pb_sol",2010-03-09 00:00:00,60,"ICP-OES-2"
"2241","Prairie de Mauves","C1 / PDM_0068","Méthyl (2) fluoranthène solide",2010-03-09 00:00:00,172,"GC/MS/MS_Sol"
"2242","Prairie de Mauves","C2 / PDM_0069","Zn_sol",2010-03-09 00:00:00,267.7,"ICP-OES-2"
"2243","Prairie de Mauves","C2 / PDM_0069","Ba_sol",2010-03-09 00:00:00,426,"ICP-OES-2"
"2244","Prairie de Mauves","PZ5 / PDM_0005","Sb_f0.45um",2011-09-20 12:30:00,0.01,"ICP-OES-1"
"2245","Prairie de Mauves","PZ5 / PDM_0005","Bi_f0.45um",2011-09-20 12:30:00,0.05,"ICP-OES-1"
"2246","Prairie de Mauves","PZ5 / PDM_0005","Na_f8um",2011-09-20 12:30:00,107.152,"ICP-OES-1"
"2247","Prairie de Mauves","PZ5 / PDM_0005","Al_f8um",2011-09-20 12:30:00,0.01,"ICP-OES-1"
"2248","Prairie de Mauves","PZ5 / PDM_0005","Li",2011-09-20 12:30:00,0.023,"ICP-OES-1"
"2249","Prairie de Mauves","PZ5 / PDM_0005","PCB_138_f0.45um",2011-09-20 12:30:00,0.005,"GC/MS(/MS) (L/L hexane)"
"2250","Prairie de Mauves","PZ5 / PDM_0005","BghiPer_f0.45um",2011-09-20 12:30:00,0.005,"GC/MS(/MS) (L/L hexane)"
"2251","Prairie de Mauves","PZ5 / PDM_0005","Indèno (1,2,3-cd) pyrène",2011-09-20 12:30:00,0.005,"GC/MS(/MS) (L/L hexane)"
"2252","Prairie de Mauves","PZ6 / PDM_0006","PCB n°118",2011-09-20 11:25:00,0.005,"GC/MS(/MS) (L/L hexane)"
"2253","Prairie de Mauves","PZ6 / PDM_0006","Benzo (11,12)(k) fluoranthène",2011-09-20 11:25:00,0.005,"GC/MS(/MS) (L/L hexane)"
"2254","Prairie de Mauves","PZ7 / PDM_0007","Cd_F0.45um",2012-06-28 00:00:00,0.1,"ICP-MS 2008/2016"
"2255","Prairie de Mauves","PZ7 / PDM_0007","Dibromomonochlorométhane",2012-06-28 00:00:00,0.2,"GC/MS"
"2256","Prairie de Mauves","PZ7 / PDM_0007","Fluorène",2012-06-28 00:00:00,0.329,"GC/MS(/MS) (L/L hexane)"
"2261","Prairie de Mauves","C2 / PDM_0069","Ni_sol",2010-03-09 00:00:00,18.4,"ICP-OES-2"
"2262","Prairie de Mauves","C2 / PDM_0069","Anthracène solide",2010-03-09 00:00:00,164,"GC/MS/MS_Sol"
"2263","Prairie de Mauves","C2 / PDM_0069","PCB_118_sol",2010-03-09 00:00:00,10,"GC/MS/MS_Sol"
"2264","Prairie de Mauves","C2 / PDM_0069","Pyrène solide",2010-03-09 00:00:00,10,"GC/MS/MS_Sol"
"2265","Prairie de Mauves","C2 / PDM_0069","MV_550C",2010-03-09 00:00:00,9.9,"Perte au feu (calcination à 550°C)"
"2266","Prairie de Mauves","C2 / PDM_0069","Fe_sol",2010-03-09 00:00:00,40928,"ICP-OES-2"
"2267","Prairie de Mauves","C2 / PDM_0069","B_sol",2010-03-09 00:00:00,856,"ICP-OES-2"
"2268","Prairie de Mauves","C2 / PDM_0069","Ti_sol",2010-03-09 00:00:00,2961,"ICP-OES-2"
"2269","Prairie de Mauves","PZ6 / PDM_0006","Se",2011-09-20 11:25:00,0.01,"ICP-OES-1"
"2270","Prairie de Mauves","PZ6 / PDM_0006","Fe_f8um",2011-09-20 11:25:00,0.208,"ICP-OES-1"
"2271","Prairie de Mauves","PZ6 / PDM_0006","V_f8um",2011-09-20 11:25:00,0.48,"ICP-MS 2008/2016"
"2272","Prairie de Mauves","Puits 2 / PDM_0017","Se_F0.45um",2011-09-20 14:00:00,0.01,"ICP-OES-1"
"2273","Prairie de Mauves","PZ6 / PDM_0006","V_f0.45um",2011-09-20 11:25:00,0.38,"ICP-MS 2008/2016"
"2274","Prairie de Mauves","PZ6 / PDM_0006","Mg_F8um",2011-09-20 11:25:00,5.724,"ICP-OES-1"
"2275","Prairie de Mauves","PZ6 / PDM_0006","B_F0.45um",2011-09-20 11:25:00,0.017,"ICP-OES-1"
"2276","Prairie de Mauves","PZ6 / PDM_0006","P_F0.45um",2011-09-20 11:25:00,0.1,"ICP-OES-1"
"2277","Prairie de Mauves","PZ6 / PDM_0006","F",2011-09-20 11:25:00,1.65,"Chromatographie ionique"
"2278","Prairie de Mauves","PZ6 / PDM_0006","Cu_f0.45um",2011-09-20 11:25:00,1.94,"ICP-MS 2008/2016"
