"","Site","Station","Parametre"
"1","BV Pin Sec","Debitmetre Pin-Sec_EP / PIN-SEC_0036","DCO sur échantillon homogène"
"2","BV Pin Sec","Debitmetre Pin-Sec_EP / PIN-SEC_0036","pH_insitu"
"3","BV Pin Sec","Debitmetre Pin-Sec_EP / PIN-SEC_0036","EC_25C_insitu"
"4","BV Pin Sec","Debitmetre Pin-Sec_EP / PIN-SEC_0036","MES"
"5","BV Pin Sec","Debitmetre Pin-Sec_EP / PIN-SEC_0036","F"
"6","BV Pin Sec","Debitmetre Pin-Sec_EP / PIN-SEC_0036","Chlorures"
"7","BV Pin Sec","Debitmetre Pin-Sec_EP / PIN-SEC_0036","Br"
"8","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","EC_25C_insitu"
"9","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","pH_insitu"
"10","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","DCO sur échantillon homogène"
"11","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","MES"
"12","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","F"
"13","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","Chlorures"
"14","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","Br"
"15","BV Pin Sec","PZCS / PIN-SEC_0009","Sr"
"16","BV Pin Sec","PZCS / PIN-SEC_0009","Phosphore total"
"17","BV Pin Sec","PZCS / PIN-SEC_0009","Ni"
"18","BV Pin Sec","PZCS / PIN-SEC_0009","Na"
"19","BV Pin Sec","PZCS / PIN-SEC_0009","Mn"
"20","BV Pin Sec","PZCS / PIN-SEC_0009","Mg"
"21","BV Pin Sec","PZCS / PIN-SEC_0009","Li"
"22","BV Pin Sec","PZCS / PIN-SEC_0009","K"
"23","BV Pin Sec","PZCS / PIN-SEC_0009","Fe"
"24","BV Pin Sec","PZCS / PIN-SEC_0009","Cu"
"25","BV Pin Sec","PZCS / PIN-SEC_0009","Co"
"26","BV Pin Sec","PZCS / PIN-SEC_0009","Ca"
"27","BV Pin Sec","PZCS / PIN-SEC_0009","Ba"
"28","BV Pin Sec","PZCS / PIN-SEC_0009","B"
"29","BV Pin Sec","PZCS / PIN-SEC_0009","Si_f0.45um"
"30","BV Pin Sec","PZCS / PIN-SEC_0009","Zn_f0.45um"
"31","BV Pin Sec","PZCS / PIN-SEC_0009","Sr_f0.45um"
"32","BV Pin Sec","PZCS / PIN-SEC_0009","P_f0.45um"
"33","BV Pin Sec","PZCS / PIN-SEC_0009","Ni_f0.45um"
"34","BV Pin Sec","PZCS / PIN-SEC_0009","Na_f0.45um"
"35","BV Pin Sec","PZCS / PIN-SEC_0009","Mn_f0.45um"
"36","BV Pin Sec","PZCS / PIN-SEC_0009","Mg_f0.45um"
"37","BV Pin Sec","PZCS / PIN-SEC_0009","Li_f0.45um"
"38","BV Pin Sec","PZCS / PIN-SEC_0009","K_f0.45um"
"39","BV Pin Sec","PZCS / PIN-SEC_0009","Fe_f0.45um"
"40","BV Pin Sec","PZCS / PIN-SEC_0009","Cu_f0.45um"
"41","BV Pin Sec","PZCS / PIN-SEC_0009","Co_f0.45um"
"42","BV Pin Sec","PZCS / PIN-SEC_0009","Ca_f0.45um"
"43","BV Pin Sec","PZCS / PIN-SEC_0009","Ba_f0.45um"
"44","BV Pin Sec","PZCS / PIN-SEC_0009","B_f0.45um"
"45","BV Pin Sec","PZGO / PIN-SEC_0010","Zn"
"46","BV Pin Sec","PZGO / PIN-SEC_0010","Sr"
"47","BV Pin Sec","PZGO / PIN-SEC_0010","Phosphore total"
"48","BV Pin Sec","PZGO / PIN-SEC_0010","Ni"
"49","BV Pin Sec","PZGO / PIN-SEC_0010","Na"
"50","BV Pin Sec","PZGO / PIN-SEC_0010","Mn"
"51","BV Pin Sec","PZGO / PIN-SEC_0010","Mg"
"52","BV Pin Sec","PZGO / PIN-SEC_0010","Li"
"53","BV Pin Sec","PZGO / PIN-SEC_0010","K"
"54","BV Pin Sec","PZGO / PIN-SEC_0010","Fe"
"55","BV Pin Sec","PZGO / PIN-SEC_0010","Cu"
"56","BV Pin Sec","PZGO / PIN-SEC_0010","Co"
"57","BV Pin Sec","PZGO / PIN-SEC_0010","Ca"
