"","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"26764","Stations de travail","_Laetitia Pineau / Num_stationtestlp","EC_25C_insitu",2017-01-02 16:18:00,4010,"Electrométrie (conductivité)"
"26765","Stations de travail","_Laetitia Pineau / Num_stationtestlp","pH_insitu",2017-01-02 16:18:00,6.81,"Potentiométrie (pH)"
"26766","Stations de travail","_Laetitia Pineau / Num_stationtestlp","O2_insitu",2017-01-02 16:18:00,0.29,"Électrochimie"
"26767","Stations de travail","_Laetitia Pineau / Num_stationtestlp","Eh_corr_insitu",2017-01-02 16:18:00,-112,"Potentiométrie"
"26768","Stations de travail","_Laetitia Pineau / Num_stationtestlp","T_insitu",2017-01-02 16:18:00,15.3,"Thermométrie"
"26769","Stations de travail","_Laetitia Pineau / Num_stationtestlp","EC_25C_insitu",2017-01-03 16:18:00,4010,"Electrométrie (conductivité)"
"26770","Stations de travail","_Laetitia Pineau / Num_stationtestlp","pH_insitu",2017-01-03 16:18:00,6.81,"Potentiométrie (pH)"
"26771","Stations de travail","_Laetitia Pineau / Num_stationtestlp","O2_insitu",2017-01-03 16:18:00,0.29,"Électrochimie"
"26772","Stations de travail","_Laetitia Pineau / Num_stationtestlp","Eh_corr_insitu",2017-01-03 16:18:00,-112,"Potentiométrie"
"26773","Stations de travail","_Laetitia Pineau / Num_stationtestlp","T_insitu",2017-01-03 16:18:00,15.3,"Thermométrie"
"33190","Stations de travail","_Laetitia Pineau / Num_stationtestlp","Hg_sol",2017-10-17 10:00:00,10,"Lumex_Sol"
"33191","Stations de travail","_Laetitia Pineau / Num_stationtestlp","Hg",2017-10-17 11:00:00,20,"Méthode inconnue liquide"
"33192","Stations de travail","_Laetitia Pineau / Num_stationtestlp","Hg",2017-10-10 12:00:00,30,"Méthode inconnue liquide"
"33193","Stations de travail","_Laetitia Pineau / Num_stationtestlp","Hg",2017-10-10 13:00:00,40,"Lumex_Liq"
"33516","Stations de travail","_Laetitia Pineau / Num_stationtestlp","para_test_LP",2018-08-12 12:00:00,NA,"Calcul"
"33518","Stations de travail","_Laetitia Pineau / Num_stationtestlp","para_test_LP",2017-01-01 16:18:00,12,"Calcul"
"33519","Stations de travail","_Laetitia Pineau / Num_stationtestlp","Hg",2017-01-01 16:18:00,NA,"ICP-MS 2008/2016"
"33520","Stations de travail","_Laetitia Pineau / Num_stationtestlp","Hg_f8um",2017-01-01 16:18:00,NA,"ICP-OES-1"
"39589","Stations de travail","_Laetitia Pineau / Num_stationtestlp","Hg",2017-01-02 16:18:00,0.05,"Méthode inconnue liquide"
"44912","Stations de travail","_Laetitia Pineau / Num_stationtestlp","EC_25C_insitu",2018-08-12 12:00:00,704,"Electrométrie (conductivité)"
"44913","Stations de travail","_Laetitia Pineau / Num_stationtestlp","pH_insitu",2018-08-12 12:00:00,6.59,"Potentiométrie (pH)"
"44914","Stations de travail","_Laetitia Pineau / Num_stationtestlp","O2_insitu",2018-08-12 12:00:00,4.26,"Électrochimie"
"44915","Stations de travail","_Laetitia Pineau / Num_stationtestlp","Eh_corr_insitu",2018-08-12 12:00:00,349.2,"Potentiométrie"
"44916","Stations de travail","_Laetitia Pineau / Num_stationtestlp","T_insitu",2018-08-12 12:00:00,10.8,"Thermométrie"
"47934","Stations de travail","_Laetitia Pineau / Num_stationtestlp","Couleur_insitu",2017-10-17 10:00:00,5,"Générique"
"49424","Stations de travail","_Laetitia Pineau / Num_stationtestlp","Eh_corr_insitu",2017-10-10 14:00:00,56541,"Potentiométrie"
